Potencial do Jogador,Idade,Posicao,Gols,Assistencias,Chutes ao Gol,Precisao de Passe,Desarmes,Interceptacoes,Faltas,Cartoes Amarelos,Cartoes Vermelhos,Historico de Lesoes,Altura do Jogador (cm),Peso do Jogador (kg),Cidade Natal,Pe Dominante
62,17,Midfielder,5,2,13,98.5,1,1,1,0,0,None,155,82,Braga,Direito
60,23,Defender,2,2,15,76.1,4,0,0,0,0,Low,209,76,Lisboa,Ambidestro
60,25,Midfielder,5,4,7,97.1,4,4,1,0,0,None,204,95,Braga,Ambidestro
73,19,Defender,1,2,8,98.7,2,1,0,0,0,Low,175,97,Lisboa,Ambidestro
91,22,Goalkeeper,5,3,7,81.6,2,1,3,0,0,None,192,82,Porto,Esquerdo
65,27,Forward,4,1,9,97.9,2,3,2,0,0,Low,200,67,Lisboa,Ambidestro
62,30,Midfielder,6,6,15,71.3,5,2,1,0,0,None,189,52,Braga,Direito
54,34,Forward,5,4,16,99.0,0,0,3,0,0,High,172,59,Braga,Ambidestro
63,16,Forward,4,2,8,84.1,3,1,1,0,0,Low,185,64,Lisboa,Direito
57,30,Forward,10,4,14,92.6,3,2,2,0,0,Medium,196,97,Faro,Direito
68,19,Goalkeeper,6,2,10,90.6,3,0,0,0,0,Low,194,65,Coimbra,Ambidestro
77,28,Defender,1,2,4,93.5,2,1,2,0,0,None,153,80,Porto,Esquerdo
63,26,Forward,2,2,8,71.8,4,2,1,0,0,None,152,55,Braga,Direito
89,27,Goalkeeper,12,4,9,84.0,1,0,1,0,0,Medium,159,53,Coimbra,Direito
75,20,Goalkeeper,5,4,8,83.8,0,1,1,0,0,Medium,175,53,Faro,Ambidestro
75,22,Goalkeeper,3,10,5,98.2,1,0,1,0,0,High,162,79,Faro,Esquerdo
71,20,Defender,3,1,10,80.9,2,2,0,0,0,Low,188,87,Porto,Direito
87,31,Midfielder,5,2,17,99.3,0,3,0,0,1,Medium,201,66,Faro,Direito
55,19,Forward,3,4,5,80.3,2,1,0,1,0,None,205,64,Faro,Direito
95,28,Goalkeeper,7,4,11,77.4,3,0,0,0,0,High,181,59,Coimbra,Direito
96,20,Midfielder,3,3,12,97.7,1,1,1,0,0,High,165,79,Porto,Direito
55,24,Midfielder,4,4,6,77.0,2,0,2,0,0,High,203,83,Faro,Direito
74,30,Goalkeeper,7,4,14,75.2,2,1,1,0,0,Medium,150,76,Porto,Esquerdo
70,31,Defender,5,2,7,74.2,1,0,1,1,0,High,169,56,Braga,Direito
93,19,Midfielder,3,2,8,96.6,0,4,2,0,0,Medium,179,86,Lisboa,Esquerdo
67,31,Defender,4,1,11,73.1,4,2,1,0,0,None,169,51,Lisboa,Ambidestro
97,29,Defender,4,2,13,99.9,3,3,2,0,0,High,162,52,Porto,Esquerdo
99,32,Midfielder,9,6,8,85.0,0,3,0,0,0,None,171,63,Porto,Esquerdo
52,33,Midfielder,3,0,12,85.0,2,1,1,0,0,None,184,68,Porto,Ambidestro
82,21,Midfielder,6,2,18,94.1,1,2,0,0,0,High,202,91,Braga,Ambidestro
73,25,Defender,5,3,10,96.5,2,0,2,0,0,None,169,92,Porto,Esquerdo
70,19,Defender,1,4,11,95.1,2,3,1,0,0,None,193,66,Lisboa,Direito
81,16,Midfielder,8,3,15,75.2,2,2,0,0,0,Medium,156,65,Lisboa,Ambidestro
93,21,Goalkeeper,8,4,13,96.0,1,1,1,0,0,High,194,74,Lisboa,Direito
59,16,Goalkeeper,6,3,7,99.6,2,0,1,1,0,Low,198,57,Coimbra,Ambidestro
54,33,Defender,5,6,10,76.7,3,1,1,0,1,None,198,57,Coimbra,Ambidestro
100,34,Goalkeeper,3,3,5,78.6,3,3,2,0,0,Low,174,74,Coimbra,Esquerdo
57,20,Midfielder,2,3,12,74.4,4,4,1,0,0,Low,187,75,Coimbra,Direito
77,18,Defender,4,3,10,82.3,1,3,1,0,0,High,155,96,Porto,Direito
58,32,Goalkeeper,2,2,14,99.1,3,4,0,0,0,Medium,150,75,Porto,Esquerdo
75,19,Defender,8,4,8,96.0,0,2,2,0,0,None,181,92,Porto,Ambidestro
86,18,Goalkeeper,5,2,5,97.8,5,0,0,0,0,None,150,61,Braga,Ambidestro
96,26,Goalkeeper,7,1,9,88.6,2,2,0,0,0,High,155,78,Porto,Esquerdo
59,29,Forward,5,4,9,92.3,0,6,1,0,1,High,160,52,Porto,Ambidestro
66,32,Goalkeeper,3,3,11,73.0,2,3,1,0,0,Low,183,76,Coimbra,Ambidestro
95,23,Forward,2,4,10,87.1,1,2,2,0,0,High,185,97,Lisboa,Ambidestro
71,25,Midfielder,6,3,10,96.6,2,0,1,0,0,High,168,51,Coimbra,Ambidestro
51,16,Forward,2,3,14,92.1,2,1,3,1,0,Low,160,90,Faro,Direito
95,26,Defender,7,4,7,83.5,3,1,0,0,0,Medium,205,50,Faro,Esquerdo
70,34,Midfielder,4,2,12,73.1,4,0,0,0,0,None,207,68,Porto,Direito
96,27,Forward,7,5,14,99.0,5,2,1,0,0,Medium,207,88,Braga,Ambidestro
92,18,Midfielder,3,3,14,75.1,2,2,3,0,0,Low,154,88,Lisboa,Ambidestro
62,18,Goalkeeper,6,4,6,94.5,1,2,1,0,0,High,198,62,Porto,Ambidestro
87,19,Midfielder,6,2,9,92.1,5,3,0,0,0,High,167,66,Braga,Esquerdo
86,19,Goalkeeper,3,3,18,80.6,1,2,1,0,0,Medium,181,53,Coimbra,Esquerdo
90,34,Defender,4,2,10,70.6,2,1,3,0,0,Low,191,55,Faro,Esquerdo
62,30,Goalkeeper,5,1,9,98.8,1,1,2,0,0,High,196,62,Lisboa,Esquerdo
75,19,Goalkeeper,7,2,16,89.2,2,1,3,0,0,Medium,201,58,Lisboa,Esquerdo
71,33,Goalkeeper,4,2,16,87.5,2,0,0,1,0,Medium,209,56,Lisboa,Ambidestro
93,34,Forward,4,2,6,75.7,0,2,0,0,0,High,165,52,Porto,Direito
66,30,Defender,5,1,22,84.0,5,3,1,0,0,High,201,58,Faro,Direito
76,25,Midfielder,0,0,12,71.8,4,2,0,0,0,Low,184,67,Coimbra,Direito
75,17,Goalkeeper,7,2,12,77.4,1,3,1,0,0,None,199,74,Braga,Ambidestro
67,20,Midfielder,1,3,7,90.4,3,0,1,0,0,None,206,73,Braga,Esquerdo
83,26,Midfielder,8,4,8,71.5,5,3,0,0,0,High,204,75,Coimbra,Ambidestro
99,27,Goalkeeper,5,3,9,88.6,1,1,1,0,0,None,169,76,Lisboa,Esquerdo
69,24,Forward,7,0,13,74.2,5,2,2,0,0,Medium,177,68,Braga,Ambidestro
59,27,Defender,6,0,6,71.6,2,1,0,0,0,Low,196,86,Coimbra,Ambidestro
97,18,Goalkeeper,8,3,9,89.6,2,4,0,0,0,Low,197,65,Faro,Esquerdo
68,32,Goalkeeper,7,6,10,94.1,0,1,1,0,0,None,153,90,Braga,Esquerdo
98,16,Defender,4,3,7,81.5,4,0,2,1,0,Low,155,76,Lisboa,Ambidestro
74,16,Forward,2,5,11,98.3,4,0,0,0,0,Medium,190,51,Faro,Direito
79,22,Defender,2,2,8,89.2,2,1,1,0,0,None,170,58,Faro,Direito
79,30,Goalkeeper,4,7,9,90.1,1,4,0,0,0,Low,173,80,Lisboa,Direito
91,26,Defender,3,2,14,97.1,1,3,0,0,0,None,170,50,Porto,Esquerdo
89,24,Midfielder,6,4,6,76.5,1,3,3,0,0,Low,208,95,Coimbra,Esquerdo
64,29,Midfielder,5,0,11,71.4,2,2,0,0,0,High,150,54,Faro,Ambidestro
90,18,Midfielder,5,4,13,90.2,1,1,1,0,0,Medium,206,53,Lisboa,Direito
82,19,Forward,5,3,15,82.8,2,2,1,0,0,None,173,78,Braga,Ambidestro
68,18,Midfielder,10,2,12,86.7,1,3,3,1,0,Medium,176,77,Braga,Direito
71,27,Defender,6,3,13,85.7,0,0,2,0,0,High,155,63,Coimbra,Ambidestro
100,29,Forward,5,7,12,84.2,2,2,1,0,1,Medium,179,75,Lisboa,Esquerdo
57,32,Defender,5,2,8,86.7,2,2,0,0,0,None,168,94,Braga,Ambidestro
69,24,Forward,6,6,6,89.7,3,3,5,0,0,Low,167,58,Lisboa,Ambidestro
54,24,Defender,6,2,8,76.2,1,3,3,1,0,Low,167,85,Faro,Esquerdo
96,24,Goalkeeper,6,7,8,99.0,2,0,0,1,0,None,191,64,Coimbra,Ambidestro
69,18,Forward,7,2,6,92.1,3,1,1,0,0,Low,189,53,Braga,Direito
66,19,Goalkeeper,6,5,9,85.8,0,2,0,0,1,Medium,194,83,Coimbra,Direito
58,28,Goalkeeper,4,2,12,81.4,2,3,0,1,0,None,184,61,Porto,Ambidestro
56,30,Goalkeeper,4,2,10,77.2,1,1,1,0,0,Low,191,99,Faro,Direito
99,16,Goalkeeper,6,2,8,76.0,5,2,1,0,0,High,179,96,Braga,Direito
93,20,Goalkeeper,5,1,8,98.6,1,0,5,0,0,Medium,168,70,Faro,Ambidestro
56,19,Goalkeeper,4,0,7,91.4,4,1,2,0,0,High,153,93,Porto,Esquerdo
85,29,Defender,7,3,10,91.2,0,5,2,0,0,Medium,158,76,Faro,Ambidestro
77,27,Midfielder,6,4,11,76.1,2,2,3,1,0,Medium,167,51,Braga,Direito
67,29,Forward,6,1,12,99.1,0,0,0,1,0,None,190,56,Faro,Direito
57,29,Defender,2,2,4,85.5,1,2,0,0,0,None,176,77,Faro,Esquerdo
60,27,Defender,4,6,7,88.2,0,2,2,0,0,High,201,62,Braga,Ambidestro
77,32,Defender,6,4,8,78.8,1,6,1,0,0,Medium,156,93,Lisboa,Esquerdo
90,30,Defender,6,1,9,85.3,1,1,4,0,0,High,198,97,Braga,Direito
55,32,Midfielder,9,4,15,70.7,2,2,0,0,0,High,162,99,Faro,Ambidestro
69,17,Midfielder,9,2,13,78.6,3,2,3,0,1,Medium,162,64,Lisboa,Ambidestro
74,24,Forward,3,1,6,72.0,2,3,1,1,0,None,164,91,Porto,Esquerdo
85,16,Forward,5,2,7,90.7,5,3,1,0,0,Low,174,80,Faro,Direito
85,20,Defender,5,1,12,81.9,3,2,0,0,0,Medium,194,76,Porto,Direito
89,22,Forward,1,6,13,81.9,4,1,4,0,0,None,151,94,Faro,Ambidestro
63,29,Goalkeeper,5,4,8,75.0,0,3,3,0,0,None,173,73,Porto,Direito
68,23,Defender,6,2,7,76.5,2,2,0,0,0,High,152,96,Faro,Esquerdo
78,31,Forward,3,6,8,90.9,0,1,2,0,0,Low,168,66,Porto,Ambidestro
90,25,Forward,5,2,12,98.4,0,0,1,0,0,Medium,155,76,Braga,Direito
91,34,Goalkeeper,7,2,13,91.8,3,4,1,0,0,Medium,183,89,Porto,Ambidestro
67,24,Defender,8,2,14,88.6,1,3,2,0,0,High,179,69,Coimbra,Direito
85,31,Midfielder,4,2,5,97.8,1,3,3,0,0,None,179,76,Coimbra,Direito
85,27,Defender,7,4,8,76.3,4,3,0,0,0,Low,187,55,Faro,Ambidestro
86,22,Midfielder,5,3,8,79.2,2,2,0,0,0,Medium,199,72,Lisboa,Ambidestro
86,31,Forward,3,2,8,71.8,1,0,0,1,0,Low,206,63,Coimbra,Direito
51,17,Midfielder,7,1,7,73.1,1,0,0,0,0,Medium,160,94,Faro,Esquerdo
98,28,Defender,7,4,6,93.2,3,0,1,0,0,Medium,168,84,Porto,Esquerdo
98,19,Forward,3,1,13,74.4,1,1,3,1,0,None,170,93,Faro,Direito
70,34,Midfielder,6,5,9,94.0,1,1,2,0,1,Low,208,52,Porto,Esquerdo
59,31,Midfielder,4,2,10,76.8,1,3,1,1,0,Medium,194,84,Porto,Direito
59,19,Defender,6,3,10,78.0,2,0,1,0,0,None,200,91,Braga,Esquerdo
59,26,Forward,4,2,11,93.4,3,2,1,0,0,Low,168,97,Porto,Ambidestro
67,28,Forward,9,6,7,74.0,2,3,2,1,0,Low,171,64,Coimbra,Direito
68,22,Midfielder,3,3,7,95.4,0,2,1,0,1,None,188,54,Coimbra,Direito
78,19,Midfielder,3,4,12,77.8,2,1,1,0,0,Low,161,73,Faro,Ambidestro
54,21,Midfielder,6,3,7,97.4,1,2,1,0,0,Low,190,99,Braga,Ambidestro
52,27,Goalkeeper,6,2,11,75.7,1,1,2,0,0,Low,160,65,Coimbra,Esquerdo
72,16,Forward,8,1,11,83.9,0,2,0,0,0,None,163,64,Braga,Esquerdo
58,27,Midfielder,7,4,14,84.3,1,2,0,1,0,Medium,205,90,Coimbra,Esquerdo
81,24,Midfielder,1,3,17,87.1,0,2,1,1,0,Low,192,84,Coimbra,Direito
75,26,Forward,7,4,7,89.2,2,0,1,0,0,Medium,178,54,Coimbra,Ambidestro
54,27,Goalkeeper,6,6,13,78.6,3,2,1,0,0,High,156,72,Lisboa,Direito
89,21,Forward,5,0,10,90.7,3,6,2,0,0,Low,167,71,Lisboa,Ambidestro
76,31,Goalkeeper,7,4,16,90.3,3,4,2,1,0,None,153,94,Lisboa,Esquerdo
83,24,Defender,4,3,11,89.9,0,1,1,0,0,None,183,53,Lisboa,Direito
64,18,Forward,6,4,8,70.4,3,0,2,0,0,None,157,54,Coimbra,Esquerdo
86,30,Forward,11,3,5,83.9,6,1,0,0,0,None,153,81,Faro,Esquerdo
65,19,Defender,6,3,6,80.7,3,2,2,0,0,Medium,200,85,Lisboa,Ambidestro
56,19,Forward,4,2,20,95.5,3,1,1,0,0,Medium,207,63,Braga,Esquerdo
70,23,Defender,2,1,4,91.3,1,3,1,0,1,Low,170,98,Coimbra,Direito
73,25,Goalkeeper,5,1,9,96.8,3,1,0,0,0,Low,164,84,Porto,Ambidestro
78,25,Forward,5,5,10,80.3,4,1,1,0,0,None,181,66,Coimbra,Ambidestro
53,25,Defender,9,2,10,85.2,1,1,0,0,0,High,194,82,Porto,Ambidestro
97,19,Midfielder,2,3,4,88.0,1,2,1,0,0,None,168,60,Braga,Ambidestro
66,30,Goalkeeper,6,4,15,82.1,2,4,3,0,0,Low,183,63,Coimbra,Esquerdo
86,34,Goalkeeper,3,3,9,74.0,3,3,2,1,0,High,191,52,Coimbra,Esquerdo
71,28,Midfielder,9,4,8,78.1,4,2,4,0,0,High,157,50,Faro,Ambidestro
53,19,Midfielder,8,5,12,70.2,2,4,3,0,0,Low,157,62,Porto,Ambidestro
78,25,Defender,0,4,9,84.2,2,5,0,0,0,Medium,179,81,Coimbra,Ambidestro
53,26,Midfielder,10,1,9,70.3,1,2,0,0,0,Low,165,85,Braga,Direito
93,29,Forward,5,1,10,87.2,2,1,1,0,0,Medium,206,80,Braga,Direito
70,23,Defender,5,0,11,97.2,1,3,0,0,0,Low,166,84,Porto,Direito
96,23,Goalkeeper,5,0,8,88.9,0,1,0,1,0,Low,200,57,Lisboa,Ambidestro
94,17,Forward,4,5,11,89.5,2,2,1,0,0,Medium,173,71,Braga,Esquerdo
52,28,Forward,3,4,8,70.3,3,1,2,0,0,High,209,88,Lisboa,Esquerdo
66,18,Goalkeeper,7,4,8,97.0,3,1,0,0,0,High,169,61,Faro,Direito
59,18,Forward,5,0,13,93.7,4,0,3,0,0,None,163,79,Coimbra,Direito
50,17,Goalkeeper,6,1,10,72.6,3,2,0,0,0,High,186,59,Braga,Esquerdo
56,21,Goalkeeper,3,0,11,73.0,2,0,0,1,0,Low,179,69,Porto,Direito
93,24,Goalkeeper,6,5,9,98.7,3,1,1,0,0,High,191,67,Coimbra,Esquerdo
83,20,Goalkeeper,2,1,10,89.9,1,2,1,0,0,None,150,62,Lisboa,Ambidestro
53,16,Defender,10,5,6,74.4,4,2,2,0,0,High,196,95,Faro,Ambidestro
59,27,Forward,3,3,10,86.0,2,1,2,0,0,None,166,70,Braga,Direito
59,18,Midfielder,4,2,13,84.9,3,3,2,0,0,Medium,202,89,Faro,Ambidestro
98,21,Defender,6,2,7,77.9,2,1,1,0,0,Low,181,78,Coimbra,Ambidestro
59,32,Midfielder,7,2,10,84.4,3,2,1,0,0,Low,188,86,Porto,Direito
82,24,Defender,7,3,14,79.0,3,1,0,0,0,High,209,80,Faro,Ambidestro
57,17,Forward,5,4,10,79.0,0,0,1,1,0,None,204,92,Coimbra,Ambidestro
65,33,Goalkeeper,2,4,10,100.0,0,2,2,0,0,None,167,50,Porto,Ambidestro
58,32,Midfielder,8,2,11,87.0,2,1,0,0,0,None,183,86,Lisboa,Esquerdo
78,19,Defender,1,1,9,93.8,2,5,1,0,0,Low,171,53,Coimbra,Esquerdo
72,24,Forward,7,4,17,80.7,1,2,2,0,0,Low,201,90,Lisboa,Ambidestro
60,20,Forward,6,4,10,93.8,1,0,0,0,0,Medium,156,50,Braga,Ambidestro
63,32,Defender,5,2,10,92.7,1,1,0,0,0,None,203,70,Porto,Esquerdo
54,19,Goalkeeper,5,6,11,92.5,1,2,0,0,0,Medium,206,74,Lisboa,Direito
98,23,Defender,2,3,13,78.4,0,2,0,0,0,Low,198,87,Coimbra,Direito
84,19,Defender,5,1,13,94.1,2,3,1,0,0,Medium,207,88,Faro,Ambidestro
61,34,Defender,6,0,4,75.8,4,1,0,0,0,Low,202,99,Coimbra,Ambidestro
82,33,Goalkeeper,4,5,8,98.6,3,4,1,0,0,Medium,183,65,Braga,Esquerdo
94,17,Midfielder,7,5,11,78.8,5,1,0,0,0,Low,155,58,Faro,Direito
99,34,Defender,5,1,4,71.0,3,3,2,0,0,None,196,50,Braga,Ambidestro
80,33,Forward,5,3,16,99.0,2,3,2,0,0,High,169,78,Coimbra,Direito
100,18,Midfielder,8,1,7,70.3,2,3,1,1,0,None,167,77,Faro,Ambidestro
97,21,Forward,7,2,7,92.8,4,2,1,0,0,High,184,76,Braga,Esquerdo
61,21,Forward,1,3,5,92.1,2,3,1,0,0,High,154,60,Porto,Direito
60,28,Defender,3,2,9,97.6,1,1,0,0,0,High,190,93,Braga,Direito
82,28,Midfielder,4,5,9,91.1,2,3,0,1,0,None,190,72,Braga,Direito
51,18,Defender,5,5,11,92.0,2,6,1,0,0,High,158,98,Lisboa,Esquerdo
62,31,Forward,3,1,12,79.6,0,1,0,0,0,Low,189,74,Lisboa,Direito
74,23,Defender,4,4,13,90.9,0,1,0,1,0,None,155,55,Coimbra,Esquerdo
64,23,Goalkeeper,9,2,13,70.3,0,4,1,0,0,Low,166,72,Lisboa,Ambidestro
86,27,Goalkeeper,2,3,9,84.5,2,2,0,0,0,None,165,99,Braga,Direito
89,33,Defender,10,0,9,78.9,3,4,1,0,0,High,202,69,Porto,Esquerdo
59,22,Defender,6,2,10,74.5,0,1,2,0,0,Medium,156,55,Coimbra,Ambidestro
88,23,Defender,5,4,4,96.7,4,2,2,1,0,Low,199,50,Faro,Esquerdo
91,34,Defender,6,3,13,88.0,2,2,0,1,0,Medium,207,91,Braga,Direito
98,27,Defender,3,3,8,86.0,4,1,3,0,0,None,181,90,Porto,Ambidestro
91,33,Goalkeeper,5,5,4,84.4,3,3,1,0,0,Medium,206,68,Braga,Ambidestro
60,25,Midfielder,4,3,10,82.0,1,4,0,1,0,None,191,73,Porto,Ambidestro
70,30,Defender,4,3,15,91.7,1,4,1,0,0,Low,172,64,Porto,Direito
96,25,Midfielder,1,7,9,75.6,3,0,0,0,0,High,176,92,Faro,Ambidestro
75,34,Defender,4,2,11,89.0,3,5,0,0,0,None,160,95,Coimbra,Esquerdo
99,16,Midfielder,6,4,7,76.3,1,4,2,0,0,High,153,79,Porto,Direito
97,25,Goalkeeper,1,2,10,83.5,1,1,2,0,0,Low,191,57,Braga,Esquerdo
72,27,Forward,5,4,8,96.0,3,1,2,0,0,Low,153,60,Lisboa,Esquerdo
62,33,Midfielder,7,2,11,83.5,1,0,0,0,0,Low,183,97,Braga,Esquerdo
92,25,Goalkeeper,2,7,11,89.0,1,0,3,0,1,Medium,179,69,Lisboa,Ambidestro
85,16,Midfielder,5,2,6,81.4,2,1,3,0,0,High,177,98,Porto,Direito
89,32,Goalkeeper,5,2,6,87.9,2,2,0,0,0,Low,157,60,Coimbra,Direito
67,26,Forward,3,5,8,79.1,0,0,3,0,0,Medium,203,87,Coimbra,Esquerdo
76,20,Goalkeeper,5,4,1,84.4,4,2,2,0,0,Medium,204,66,Faro,Esquerdo
57,19,Defender,4,4,12,77.5,1,5,1,0,0,None,183,55,Braga,Esquerdo
91,24,Defender,3,2,12,76.3,1,2,1,0,0,Low,183,67,Porto,Direito
53,30,Midfielder,9,3,5,84.9,5,2,0,0,0,Low,191,89,Coimbra,Esquerdo
80,16,Defender,4,6,17,73.6,1,4,1,0,0,High,206,75,Lisboa,Ambidestro
68,24,Defender,4,3,7,82.4,2,0,1,0,0,None,207,58,Faro,Ambidestro
96,23,Forward,7,3,10,83.4,4,1,1,1,0,None,166,55,Braga,Esquerdo
90,29,Defender,3,2,4,72.5,3,1,3,1,0,Low,165,76,Coimbra,Ambidestro
94,33,Defender,6,1,12,81.0,2,2,1,0,0,None,201,59,Porto,Esquerdo
52,16,Midfielder,8,4,7,71.3,2,0,3,0,0,High,176,92,Porto,Direito
65,27,Defender,5,4,17,77.3,2,2,1,0,0,None,193,51,Lisboa,Esquerdo
53,20,Defender,9,3,12,72.7,3,4,2,0,0,Medium,193,63,Braga,Esquerdo
70,16,Goalkeeper,7,3,6,83.5,1,2,0,0,0,None,173,81,Coimbra,Direito
54,26,Goalkeeper,5,0,8,80.2,0,1,0,0,0,Medium,189,97,Faro,Ambidestro
83,30,Midfielder,4,6,8,73.4,2,5,1,0,0,None,171,69,Faro,Esquerdo
68,34,Midfielder,2,0,9,86.4,3,2,1,0,0,None,176,52,Coimbra,Esquerdo
89,20,Midfielder,7,2,15,86.2,1,3,0,1,1,High,152,96,Porto,Esquerdo
87,19,Defender,2,0,4,79.9,2,0,2,1,0,High,184,87,Coimbra,Direito
98,23,Defender,2,3,5,82.4,1,4,0,0,0,None,160,96,Porto,Ambidestro
88,24,Defender,2,2,13,98.3,2,1,0,1,0,Low,164,85,Faro,Direito
85,29,Defender,8,2,4,74.6,1,2,1,0,0,None,171,89,Braga,Esquerdo
57,21,Defender,7,2,18,98.2,2,4,0,1,0,Low,174,96,Coimbra,Direito
97,16,Defender,5,2,11,79.8,2,1,0,0,0,Low,178,68,Lisboa,Esquerdo
88,24,Goalkeeper,4,2,10,79.1,1,2,0,0,0,Medium,197,59,Faro,Ambidestro
75,31,Midfielder,6,4,11,87.5,4,2,0,0,0,High,172,74,Porto,Esquerdo
84,31,Midfielder,4,4,14,81.5,3,1,2,0,0,None,182,73,Braga,Esquerdo
81,27,Defender,7,1,12,88.8,4,0,0,0,0,Low,173,89,Coimbra,Esquerdo
91,20,Forward,4,1,12,93.3,2,1,0,0,0,Medium,168,59,Lisboa,Esquerdo
89,23,Goalkeeper,1,3,6,81.4,0,3,0,1,0,None,151,69,Porto,Esquerdo
