Diferenca de Golos da Equipa da Casa,Golos Marcados pela Equipa da Casa_5J,Golos Marcados pela Equipa Fora_5J,Golos Sofridos pela Equipa da Casa_5J,Golos Sofridos pela Equipa Fora_5J,Taxa de Vitorias da Equipa da Casa_10J,Taxa de Vitorias da Equipa Fora_10J,Posicao da Equipa da Casa na Liga,Posicao da Equipa Fora na Liga,Distancia Percorrida_Equipa Fora,Temperatura no Dia do Jogo,Numero de Espectadores,Golos da Equipa da Casa,Golos da Equipa Fora
1,2.356671361,1.432525385,0.939373117,1.433687727,0.990237419,0.779241472,2,16,879,10,15530,1,0
-1,1.127622589,1.262487472,1.560195457,2.065584862,0.339142531,0.794791266,7,18,238,29,9939,0,1
-1,1.086780731,1.479966774,1.609654345,0.948374425,0.268084182,0.948620686,17,2,136,14,30809,1,2
-4,1.450773738,1.539311807,1.329858122,0.805003638,0.348718958,0.918298172,16,10,436,19,2060,0,4
1,1.168260857,0.997722687,1.970995078,1.853904427,0.858865935,0.241079746,1,19,342,28,21071,1,0
0,2.063317961,1.534622127,2.180509126,1.110001255,0.086948481,0.282569343,14,2,996,16,35030,0,0
0,0.960034246,1.446911248,1.085315468,0.881128558,0.522672937,0.329881409,10,3,69,19,4488,0,0
0,0.926265674,1.810469825,1.655251771,1.081597074,0.953935092,0.329769892,10,13,736,26,14146,0,0
0,1.281089978,1.251843969,1.185039035,1.576447526,0.382497853,0.719524643,13,19,816,25,4944,1,1
-1,1.250983775,1.548782325,0.702270545,1.610966764,0.795985364,0.847420443,19,12,287,17,45477,0,1
0,2.464766027,0.865204427,2.071679878,1.30866661,0.936055427,0.596593214,13,4,854,18,11365,2,2
1,1.974710403,0.554544553,1.418957088,1.102815818,0.021315652,0.800438394,9,17,333,12,38168,2,1
-2,1.543775621,1.297430648,1.683606846,2.525859256,0.612077688,0.967024967,16,7,425,15,15818,0,2
-2,0.887282241,1.297112603,0.245092881,1.756218806,0.497202206,0.940222931,11,12,250,19,30494,0,2
-2,1.922181488,0.862586545,1.620779072,1.124756449,0.29821383,0.730099613,10,9,908,26,26874,1,3
1,0.999892326,0.201483279,0.58477483,0.966491797,0.469898401,0.907082701,8,2,208,15,13456,2,1
-1,0.727614452,2.402885304,1.048365862,1.273370675,0.036997409,0.987886294,14,11,513,12,22553,0,1
2,2.094014896,1.510039231,1.209568585,0.919447215,0.481444228,0.302688101,17,2,265,12,17951,3,1
1,1.658471306,1.388649082,0.815069062,1.655466882,0.777877486,0.15114184,10,5,241,13,36056,1,0
0,1.960429412,1.976251598,1.764310418,0.910596366,0.280998561,0.491841103,2,17,694,17,36558,2,2
1,1.659363826,0.46723644,1.912285341,1.785522172,0.607964123,0.966426375,11,19,701,26,1703,2,1
2,1.928415306,1.382247021,0.873379468,1.426110427,0.683244832,0.970574888,11,16,673,22,35130,2,0
-1,1.174487203,1.192238697,1.494009919,1.317878331,0.20124129,0.141336117,3,19,460,17,29358,0,1
-1,0.982878579,1.799281196,0.651213245,1.280091547,0.15611038,0.427876996,3,19,636,29,31798,0,1
0,1.840797259,0.991093223,0.932168265,1.935938911,0.677557226,0.485784998,2,17,766,10,18553,0,0
0,1.098295168,0.352418744,1.398488611,1.261512587,0.292090201,0.066645457,3,20,918,19,11232,1,1
-1,1.155225111,1.610537178,1.94165485,1.817078813,0.925480373,0.930055358,7,7,977,25,48423,1,2
-1,1.272233748,0.313163614,1.194662979,0.943579496,0.8298067,0.563624849,3,7,690,26,1466,1,2
-1,1.50873958,0.670274817,1.223487149,1.701145985,0.50651604,0.150127534,16,10,988,11,12365,0,1
2,1.323003044,1.564226582,1.200538171,0.806384877,0.710628757,0.458280639,1,1,248,10,2794,2,0
0,0.812524353,1.779592324,1.628049968,1.694140365,0.885601694,0.490723804,9,5,394,23,8620,2,2
0,1.178190799,1.340776932,1.383774727,1.00810083,0.310786771,0.273718446,13,14,324,21,46274,1,1
0,0.388298424,1.002742794,1.507507666,1.401488537,0.086285648,0.073603604,13,13,90,16,29785,0,0
-3,1.812615726,0.207324936,1.152999605,1.857468647,0.328274318,0.375819924,19,13,850,27,14759,0,3
1,0.698971172,0.978828886,1.095310904,1.398824091,0.177804579,0.621780347,3,5,754,23,15781,1,0
0,0.94780833,0.730205952,0.88919239,1.228829084,0.633596755,0.483228203,3,16,858,29,6860,0,0
2,1.52608254,1.039841163,1.061534474,1.282862504,0.969521197,0.065821343,4,3,558,18,9174,2,0
2,1.130218502,0.738841702,1.752030275,1.270564395,0.993998449,0.184617025,4,3,617,19,26193,2,0
-3,2.271507298,0.935119017,1.906913012,1.693062125,0.047795726,0.407777388,12,20,147,20,42199,0,3
1,0.853571545,2.031737871,1.732609745,1.545079596,0.373594065,0.815035449,15,11,229,23,48469,1,0
-1,1.633525435,-0.063233494,0.735394695,0.404024706,0.642149555,0.962067418,19,17,165,13,18864,1,2
0,1.480358591,0.065478337,1.835080916,1.146133963,0.689681754,0.379924376,5,18,207,16,39780,1,1
-1,0.915953251,1.46084417,1.228743675,0.872125786,0.114567777,0.344173516,19,9,706,12,25027,1,2
-1,1.76163833,1.010144629,0.863766353,0.704823784,0.002960718,0.242986187,8,19,286,10,18317,0,1
0,1.414226834,0.663644333,0.493468992,0.969142944,0.400392248,0.56409331,9,2,590,18,11840,1,1
-1,1.885895276,0.550456787,1.337596167,2.309749414,0.226919126,0.869840887,15,17,397,13,46382,0,1
2,1.911752077,1.289874161,1.514094863,2.145491389,0.941120222,0.069578888,12,16,159,15,47047,2,0
2,2.581617975,1.333961511,1.366562196,1.978679601,0.091525546,0.801302354,15,4,323,24,17371,2,0
0,2.168263975,1.585093348,0.229463327,-0.390522934,0.305057038,0.465390317,5,3,100,22,41043,2,2
1,1.315409081,1.859756195,0.846834927,0.927839653,0.869722059,0.179898867,12,17,913,16,41092,1,0
2,1.380310411,0.987073435,1.117808624,1.071827749,0.505858477,0.250166661,16,6,276,15,26340,3,1
-3,2.049829798,1.246615144,0.579402967,0.402092991,0.889051632,0.43598323,6,5,965,29,49236,1,4
3,1.827631865,1.14956684,0.850843509,1.186247919,0.547270586,0.711416438,18,16,755,28,2772,3,0
1,1.820065763,1.173602024,1.50941876,0.401284643,0.9820423,0.300981377,11,7,238,28,36350,1,0
0,0.691521978,1.078955644,0.98768647,1.925754364,0.983647474,0.730813354,11,8,410,10,44067,0,0
-1,1.487836938,0.582061461,1.806856998,2.101827825,0.570942768,0.200510274,19,13,282,15,2851,0,1
0,1.130984545,1.309406563,1.277014254,0.988029331,0.654417949,0.188613509,11,10,482,11,18452,1,1
0,1.6399623,1.323717491,0.692344259,1.291004142,0.656899112,0.934567256,11,19,896,14,18876,0,0
0,1.450924805,1.245562047,0.859457504,1.842160261,0.143846239,0.231154521,3,7,196,19,10183,0,0
1,1.955089454,1.667819273,1.753711814,1.618359004,0.37357084,0.989469645,7,8,410,28,4476,2,1
1,1.658609108,1.532118198,0.022004871,0.942393975,0.500191828,0.338116618,9,8,894,28,37216,1,0
-1,1.893163981,0.30057803,2.378813043,1.65463752,0.283482506,0.565946403,4,10,318,10,18232,0,1
4,1.266790452,0.711232546,1.070485343,1.183707085,0.024617605,0.325117126,3,15,530,21,29363,4,0
1,1.027776872,1.703436943,0.803484722,1.255050983,0.344133387,0.099787222,17,15,101,24,9628,1,0
-1,1.294975153,0.979368091,2.233479936,1.480445849,0.40099506,0.930010378,13,5,533,15,43890,1,2
1,1.491489793,1.33153622,1.091323845,1.4216984,0.173246149,0.523717908,13,12,960,23,33753,1,0
-1,1.689575868,1.053086496,1.786756083,1.761286528,0.926115318,0.805189558,19,18,741,10,43970,0,1
0,2.629654475,1.819927301,1.040291974,0.21465388,0.479092126,0.702906219,19,19,649,27,9859,2,2
1,1.478871424,1.276520706,2.215562614,1.342371407,0.960836054,0.800787976,9,1,297,28,31896,1,0
0,1.0220275,1.245970126,1.192846574,1.277829179,0.075673396,0.688613554,6,8,139,26,46914,2,2
2,1.327009112,0.452698501,1.136649612,0.546798119,0.763365633,0.658456159,14,2,77,17,10734,2,0
4,1.268202013,0.378791474,0.943036987,0.274852392,0.64571902,0.740154818,20,7,437,18,44109,4,0
-1,1.740740737,1.003758954,0.280949359,1.88118087,0.817377811,0.42610002,18,20,808,24,9042,0,1
0,0.729601493,1.669029697,1.046847479,0.939853559,0.997893598,0.169664617,6,6,217,14,48213,0,0
-2,1.531630997,0.812240213,1.635964067,1.67771392,0.42669641,0.095376885,2,2,478,23,20493,1,3
-2,1.578253269,1.915310444,1.912760235,2.146834523,0.801275727,0.599158021,7,3,475,29,33566,0,2
1,1.616090518,0.901345331,0.787369096,0.973080873,0.820370292,0.215958839,11,10,698,10,17987,2,1
-1,1.201341966,1.407688258,1.445672714,1.605912596,0.036394219,0.290530778,17,7,805,14,8828,0,1
1,1.381039135,0.951650602,1.004114804,1.609981119,0.047444069,0.759463762,15,6,671,20,17244,1,0
1,0.787969546,1.427583696,1.674409525,1.941739157,0.798591001,0.862774343,2,2,363,14,21421,1,0
-2,1.253340058,1.898472475,2.13623051,1.7846484,0.389960481,0.683836039,18,17,928,29,5302,0,2
-1,1.228569262,1.680166386,1.719797382,1.853072691,0.666346367,0.636480298,14,9,685,20,5828,0,1
1,1.708025023,2.034743943,2.158974119,0.502765973,0.531823086,0.737098947,13,16,129,24,48890,2,1
2,0.921908784,0.837473392,0.477065545,0.553274085,0.461201976,0.964792286,3,8,349,14,5960,2,0
3,1.890599051,0.632157642,0.438247687,1.940046273,0.581771552,0.240740716,7,9,217,24,26503,4,1
1,2.247242272,0.583445587,2.139093639,2.857417533,0.97357205,0.289785115,14,14,818,21,18769,2,1
1,0.465007487,1.086440712,1.613992604,1.086343757,0.734478744,0.98340748,7,4,295,15,28326,1,0
2,1.713129365,0.557253728,0.684971011,0.86475317,0.778548537,0.346182842,3,13,274,27,47752,3,1
0,1.838454018,0.734097036,1.403184251,0.851792107,0.047278095,0.551454727,1,11,663,15,46375,0,0
-2,1.181281487,0.819661524,2.171683745,2.034647024,0.174457385,0.040341058,15,1,686,20,30477,1,3
-1,1.301364093,2.810250895,1.417326505,1.366489668,0.331215903,0.379085809,12,20,887,27,38792,0,1
0,1.433559711,1.310471441,1.680356981,1.634193272,0.315722044,0.991304231,10,10,349,14,37913,0,0
1,1.35110456,1.168543869,1.130719404,1.286088306,0.076907247,0.151265566,2,10,515,27,17812,2,1
0,1.345493515,0.885056494,1.19485124,0.551515623,0.78533499,0.64605634,1,2,414,10,10033,0,0
1,0.661998097,0.66339532,1.302979428,1.335268772,0.092966831,0.826036191,12,20,753,24,16296,1,0
1,2.076165782,1.200527907,2.013038429,2.095527106,0.017864187,0.731333406,18,18,972,21,35755,2,1
2,2.039809296,0.691139322,1.307107919,0.958374425,0.551085595,0.991342056,3,19,839,12,8196,2,0
-1,1.09331787,0.412836172,1.07966923,1.131467494,0.416364472,0.488366975,7,15,488,28,40973,0,1
0,0.766787836,0.382283995,1.435248593,0.009021118,0.834112755,0.074900991,8,13,354,20,18551,0,0
2,1.760532438,2.052156994,0.762628999,1.902609758,0.583935792,0.541960992,18,7,204,14,1419,2,0
0,1.212106015,0.869115093,0.628674752,1.414580097,0.911059788,0.149962822,3,9,882,19,12170,1,1
0,1.570976582,0.370041524,1.214155982,1.453451787,0.614682838,0.985414329,2,18,144,24,16631,0,0
