Publico Presente,Time da Casa,Time Visitante,Dia da Semana,Posicao do Time da Casa no Campeonato,Posicao do Time Visitante no Campeonato,Popularidade do Time da Casa,Popularidade do Time Visitante,Importancia do Jogo,Cor do Uniforme da Casa,Cor do Uniforme Visitante,Distancia entre Cidades (km),Previsao do Tempo,Dia Nacional
34310,Team C,Team D,Saturday,20,19,7.3,3.5,Medium,Branco,Azul,208,Chuvoso,Nao
41562,Team A,Team A,Friday,10,10,8.5,5.6,High,Vermelho,Azul,170,Chuvoso,Sim
20366,Team B,Team B,Saturday,15,4,2.6,4.4,Low,Verde,Amarelo,248,Chuvoso,Sim
34730,Team B,Team C,Wednesday,1,5,6.5,2.2,Medium,Amarelo,Amarelo,123,Chuvoso,Nao
6517,Team B,Team C,Saturday,17,10,4.2,2.4,Medium,Azul,Verde,408,Ensolarado,Nao
21356,Team B,Team C,Sunday,17,17,8.7,2.7,Low,Azul,Verde,830,Nublado,Nao
19977,Team A,Team A,Thursday,8,8,9.4,5.5,Low,Azul,Branco,140,Chuvoso,Sim
21008,Team B,Team A,Thursday,13,18,4,9.4,High,Vermelho,Amarelo,290,Nublado,Sim
38128,Team A,Team B,Monday,18,7,1.7,2.5,Low,Azul,Vermelho,203,Nublado,Sim
9908,Team D,Team C,Monday,11,2,3.8,8.2,High,Verde,Vermelho,647,Nublado,Nao
6020,Team A,Team D,Monday,2,6,5.8,4.4,Medium,Branco,Branco,815,Ensolarado,Sim
31335,Team D,Team A,Tuesday,20,5,2.8,6.2,High,Azul,Branco,678,Ensolarado,Sim
36469,Team B,Team A,Sunday,1,7,5,6.7,Medium,Azul,Branco,214,Neve,Sim
34631,Team C,Team A,Tuesday,14,14,3.1,8.1,Medium,Vermelho,Amarelo,575,Nublado,Sim
16573,Team D,Team A,Monday,9,6,4.3,3.1,High,Verde,Azul,711,Nublado,Nao
53794,Team D,Team D,Sunday,8,17,6.9,2.3,High,Branco,Verde,70,Chuvoso,Nao
10653,Team A,Team C,Friday,3,7,1.7,6.7,Low,Verde,Azul,691,Ensolarado,Sim
893,Team C,Team B,Sunday,16,15,7.3,5.6,High,Amarelo,Amarelo,174,Chuvoso,Sim
39677,Team D,Team D,Friday,20,11,1.7,5.7,Medium,Vermelho,Azul,197,Nublado,Sim
5199,Team A,Team A,Thursday,5,18,2.5,9.2,High,Vermelho,Vermelho,374,Chuvoso,Nao
19924,Team B,Team B,Saturday,5,18,1.9,3.8,High,Azul,Azul,100,Nublado,Nao
38850,Team D,Team A,Friday,8,19,7,6.3,Low,Amarelo,Amarelo,367,Nublado,Sim
19812,Team B,Team D,Friday,9,14,5.2,6.8,Medium,Amarelo,Verde,115,Neve,Nao
31694,Team D,Team A,Sunday,19,7,2.1,7.6,High,Vermelho,Verde,499,Chuvoso,Nao
12382,Team D,Team B,Wednesday,11,6,2.4,2.9,High,Amarelo,Amarelo,370,Neve,Nao
10256,Team C,Team B,Thursday,19,9,3,6.6,Low,Branco,Verde,549,Neve,Nao
3415,Team D,Team C,Monday,3,7,1.9,6,Low,Amarelo,Branco,124,Neve,Sim
38332,Team A,Team C,Monday,20,20,1.5,6.8,Low,Verde,Branco,113,Nublado,Sim
2245,Team B,Team D,Friday,10,14,9.5,4.6,High,Vermelho,Verde,399,Neve,Nao
39043,Team B,Team C,Monday,18,18,2.4,1.3,High,Verde,Vermelho,562,Nublado,Nao
35886,Team B,Team C,Monday,12,10,1.5,3.3,Low,Verde,Vermelho,987,Neve,Sim
32964,Team D,Team B,Friday,17,6,8.1,8.3,Low,Verde,Amarelo,494,Ensolarado,Sim
22168,Team A,Team B,Saturday,19,1,3,1.9,High,Verde,Vermelho,566,Ensolarado,Nao
19505,Team D,Team D,Sunday,7,11,1.7,4.4,Medium,Branco,Verde,908,Neve,Nao
9524,Team C,Team A,Sunday,14,9,1.7,6.2,Low,Verde,Vermelho,220,Neve,Nao
41478,Team A,Team D,Friday,1,12,4.5,5.1,Medium,Verde,Branco,410,Neve,Sim
-3625,Team D,Team B,Sunday,1,6,8.6,9.4,High,Amarelo,Verde,53,Neve,Nao
29875,Team D,Team A,Monday,12,10,9.1,5.3,Medium,Azul,Amarelo,131,Chuvoso,Sim
50658,Team C,Team C,Wednesday,18,11,4.6,9.8,High,Vermelho,Verde,410,Chuvoso,Sim
35568,Team D,Team A,Thursday,6,3,4.3,2.8,High,Branco,Verde,932,Chuvoso,Sim
13472,Team C,Team C,Saturday,9,12,2.5,4.4,Medium,Vermelho,Amarelo,568,Nublado,Sim
2380,Team D,Team A,Wednesday,8,3,9,4.7,Medium,Verde,Azul,443,Neve,Sim
6007,Team A,Team D,Sunday,5,5,1.3,7.3,High,Branco,Branco,530,Chuvoso,Sim
23898,Team C,Team C,Friday,3,8,8.3,8.1,Low,Verde,Azul,659,Chuvoso,Sim
21794,Team A,Team B,Thursday,10,3,3.9,6.4,Low,Branco,Verde,212,Chuvoso,Sim
34600,Team A,Team C,Wednesday,13,2,1.7,8.3,High,Azul,Verde,395,Neve,Sim
25836,Team A,Team C,Tuesday,6,10,4.2,1.2,High,Branco,Verde,379,Neve,Sim
4919,Team B,Team A,Wednesday,4,16,3.9,1.9,Low,Azul,Amarelo,281,Ensolarado,Sim
28409,Team B,Team D,Sunday,19,20,4.9,9.6,Medium,Amarelo,Vermelho,266,Nublado,Sim
48196,Team C,Team D,Sunday,20,15,4.5,3,Low,Verde,Branco,199,Chuvoso,Nao
19753,Team A,Team B,Saturday,2,1,7.7,9.2,Low,Azul,Amarelo,314,Chuvoso,Nao
3083,Team A,Team A,Saturday,17,15,3.6,6.6,High,Branco,Vermelho,696,Neve,Sim
12720,Team B,Team B,Saturday,10,13,7.9,1.6,Medium,Vermelho,Branco,184,Neve,Nao
29422,Team D,Team B,Saturday,16,10,9.9,7.7,Medium,Vermelho,Branco,746,Ensolarado,Sim
31741,Team A,Team C,Monday,13,8,4.1,6.1,Low,Vermelho,Amarelo,754,Nublado,Sim
22301,Team B,Team C,Monday,2,10,8.7,8.2,High,Verde,Azul,385,Chuvoso,Sim
43427,Team C,Team D,Monday,11,13,6.3,7.2,Low,Azul,Branco,495,Neve,Nao
40891,Team C,Team C,Friday,8,20,8.7,4.3,Low,Azul,Amarelo,90,Nublado,Nao
31267,Team D,Team A,Sunday,20,7,1.5,4.7,Medium,Verde,Vermelho,211,Neve,Nao
3432,Team A,Team A,Monday,17,14,5,7.8,Medium,Verde,Vermelho,247,Ensolarado,Nao
59519,Team B,Team B,Thursday,7,4,8.1,2.5,Medium,Verde,Branco,492,Neve,Nao
-1601,Team B,Team A,Wednesday,7,15,6.5,6.9,Medium,Verde,Amarelo,965,Ensolarado,Sim
4396,Team D,Team D,Wednesday,17,17,4.1,9,Medium,Amarelo,Amarelo,598,Nublado,Sim
3707,Team B,Team D,Friday,17,19,2.4,8.9,Medium,Branco,Azul,411,Chuvoso,Nao
22375,Team B,Team C,Thursday,11,19,1.9,1.6,Medium,Amarelo,Verde,373,Neve,Nao
8447,Team D,Team A,Thursday,2,4,6.7,6.9,High,Verde,Azul,189,Neve,Nao
18143,Team C,Team A,Thursday,7,9,6.6,1.5,Medium,Branco,Vermelho,92,Neve,Nao
19161,Team D,Team D,Tuesday,18,7,6.7,9.9,Medium,Branco,Vermelho,856,Nublado,Nao
10184,Team D,Team B,Monday,4,17,4.8,2.6,Low,Verde,Vermelho,912,Chuvoso,Sim
28891,Team C,Team C,Tuesday,18,9,6.9,2.7,High,Vermelho,Azul,778,Nublado,Nao
32833,Team C,Team A,Sunday,12,13,3.3,9.2,High,Azul,Verde,814,Chuvoso,Nao
-6986,Team D,Team A,Wednesday,6,20,7.2,2.3,High,Amarelo,Vermelho,526,Ensolarado,Nao
33514,Team A,Team B,Sunday,8,13,9.5,6.3,High,Branco,Branco,962,Ensolarado,Sim
25956,Team C,Team B,Friday,18,9,5.7,6,High,Verde,Vermelho,594,Neve,Sim
9498,Team D,Team B,Thursday,7,2,3.7,5,Medium,Verde,Azul,494,Neve,Sim
11852,Team B,Team C,Monday,18,13,1.9,3.9,Low,Branco,Vermelho,803,Nublado,Sim
1784,Team A,Team B,Tuesday,8,12,4.1,4.7,Medium,Branco,Vermelho,820,Neve,Nao
-6326,Team B,Team A,Saturday,1,10,2.5,9.4,High,Verde,Verde,843,Nublado,Nao
39047,Team C,Team A,Tuesday,14,3,5.6,6.2,High,Verde,Azul,193,Nublado,Sim
1737,Team A,Team C,Monday,13,4,3.4,3.5,Low,Azul,Amarelo,775,Chuvoso,Sim
36117,Team D,Team B,Sunday,13,8,8.1,2.9,Low,Vermelho,Branco,872,Nublado,Sim
6777,Team A,Team C,Saturday,5,12,3.2,3.3,High,Verde,Vermelho,564,Chuvoso,Sim
5155,Team C,Team C,Saturday,14,8,9.9,3.4,High,Vermelho,Branco,487,Neve,Nao
29801,Team A,Team D,Wednesday,5,16,9.2,9.2,High,Azul,Vermelho,113,Neve,Nao
26727,Team D,Team C,Saturday,5,9,6.6,3.9,Low,Branco,Verde,737,Nublado,Nao
28705,Team D,Team C,Sunday,10,12,5.7,5.3,High,Vermelho,Vermelho,722,Nublado,Sim
17210,Team A,Team B,Monday,17,3,3,7.2,High,Amarelo,Amarelo,457,Chuvoso,Sim
48908,Team D,Team C,Wednesday,2,2,5.7,2.8,High,Branco,Verde,695,Neve,Sim
-9730,Team A,Team D,Thursday,17,7,6.3,5.4,Low,Vermelho,Azul,691,Nublado,Nao
16408,Team A,Team C,Thursday,12,17,6.6,1.2,Medium,Azul,Vermelho,242,Ensolarado,Sim
13039,Team A,Team C,Wednesday,17,5,9.7,8.2,Medium,Vermelho,Amarelo,273,Ensolarado,Nao
26500,Team A,Team A,Wednesday,8,13,3.9,5.1,Medium,Branco,Verde,242,Nublado,Sim
17836,Team C,Team D,Sunday,12,3,5,1.7,High,Azul,Azul,505,Neve,Sim
31433,Team D,Team B,Sunday,11,14,2.1,5.2,High,Azul,Branco,677,Chuvoso,Nao
22710,Team A,Team D,Saturday,14,14,2.7,6.6,High,Azul,Branco,652,Nublado,Nao
10967,Team D,Team C,Thursday,8,16,9.4,8.6,Medium,Branco,Azul,193,Nublado,Nao
17837,Team C,Team A,Sunday,12,6,6.1,9.8,Medium,Azul,Verde,421,Nublado,Nao
26097,Team D,Team B,Friday,1,11,1.4,9.2,Low,Vermelho,Amarelo,494,Neve,Sim
17805,Team D,Team C,Thursday,1,3,6.7,2.9,Low,Azul,Branco,761,Neve,Sim
5844,Team B,Team D,Sunday,5,4,4.1,9.6,Low,Vermelho,Branco,576,Chuvoso,Sim
11596,Team B,Team B,Sunday,16,6,9.4,3.6,High,Verde,Amarelo,489,Nublado,Sim
56330,Team B,Team B,Sunday,13,19,1.6,6.8,Low,Azul,Branco,814,Neve,Nao
34124,Team A,Team B,Wednesday,7,20,7.9,9.9,Medium,Branco,Vermelho,796,Ensolarado,Nao
12297,Team B,Team C,Saturday,19,14,6.5,7.5,Medium,Vermelho,Branco,874,Neve,Sim
10585,Team B,Team C,Friday,4,3,5.5,4.3,Low,Branco,Azul,359,Ensolarado,Sim
47880,Team B,Team B,Thursday,11,19,3.4,9.6,Low,Azul,Vermelho,505,Neve,Nao
47520,Team D,Team A,Sunday,9,17,5.9,3.5,Medium,Amarelo,Verde,424,Neve,Sim
24893,Team A,Team B,Tuesday,15,4,1.3,6,Low,Azul,Verde,618,Nublado,Sim
9318,Team D,Team C,Monday,12,15,4,9.5,High,Amarelo,Branco,317,Ensolarado,Nao
51366,Team B,Team C,Tuesday,5,15,6.2,3.7,High,Verde,Azul,533,Neve,Nao
31996,Team C,Team C,Monday,17,20,7.4,7.9,Low,Vermelho,Amarelo,303,Nublado,Sim
34352,Team A,Team C,Saturday,7,3,6.8,8.6,Low,Verde,Branco,396,Ensolarado,Nao
21363,Team B,Team B,Tuesday,8,14,6.7,2.2,High,Branco,Azul,119,Neve,Sim
61446,Team C,Team A,Friday,18,2,5.9,4.9,High,Azul,Azul,98,Ensolarado,Sim
44527,Team A,Team D,Thursday,18,5,2,4,High,Azul,Branco,766,Neve,Sim
23528,Team C,Team B,Wednesday,16,20,8.7,3.8,Medium,Branco,Branco,110,Neve,Nao
48110,Team A,Team D,Friday,19,14,3,7.2,Medium,Amarelo,Verde,956,Ensolarado,Sim
21383,Team B,Team C,Tuesday,20,15,5.3,2.1,Medium,Amarelo,Amarelo,304,Neve,Nao
50330,Team D,Team D,Monday,20,3,6.9,3,Low,Verde,Amarelo,562,Chuvoso,Nao
36181,Team C,Team D,Friday,1,17,8.4,7.1,High,Amarelo,Branco,78,Neve,Sim
18159,Team C,Team B,Friday,9,2,6.1,9.7,Medium,Branco,Verde,116,Nublado,Sim
-1553,Team B,Team A,Tuesday,5,4,7.3,7,Medium,Verde,Vermelho,759,Chuvoso,Nao
19082,Team A,Team A,Tuesday,8,19,1.9,1.2,Low,Verde,Amarelo,429,Chuvoso,Nao
56485,Team D,Team B,Thursday,2,17,4.1,7.8,Low,Verde,Branco,323,Chuvoso,Nao
31095,Team B,Team A,Wednesday,18,2,7.7,6.1,Medium,Amarelo,Amarelo,166,Chuvoso,Sim
28296,Team B,Team B,Tuesday,10,16,8,3.9,Medium,Azul,Vermelho,556,Ensolarado,Nao
34465,Team D,Team B,Wednesday,3,6,8.6,5.9,Low,Verde,Azul,917,Neve,Nao
22961,Team A,Team A,Saturday,1,6,1.7,6.1,High,Azul,Vermelho,938,Ensolarado,Sim
46026,Team C,Team C,Sunday,1,5,6.4,6.6,Medium,Branco,Verde,114,Ensolarado,Sim
25400,Team C,Team B,Friday,4,14,6.8,8.2,High,Verde,Amarelo,398,Chuvoso,Sim
20115,Team D,Team A,Saturday,3,7,2.2,9.4,High,Vermelho,Verde,613,Neve,Nao
22159,Team C,Team D,Sunday,4,2,5.1,5.3,Low,Vermelho,Vermelho,879,Ensolarado,Nao
38078,Team D,Team D,Saturday,16,20,5.7,8.1,Medium,Verde,Branco,743,Nublado,Sim
44380,Team D,Team B,Thursday,18,20,7.9,2.4,Low,Verde,Branco,540,Chuvoso,Nao
11583,Team D,Team A,Sunday,7,4,5.8,7.8,High,Amarelo,Verde,868,Ensolarado,Nao
-1265,Team C,Team A,Friday,17,13,5.7,8.6,Medium,Vermelho,Azul,261,Ensolarado,Sim
46430,Team B,Team B,Saturday,9,20,1.1,3.4,High,Amarelo,Azul,151,Nublado,Nao
17437,Team C,Team D,Friday,18,16,9.8,3.9,Medium,Branco,Verde,620,Chuvoso,Sim
-1778,Team C,Team B,Friday,3,14,9,7.4,Medium,Azul,Vermelho,596,Neve,Nao
37404,Team D,Team B,Friday,3,3,2.7,6.3,High,Verde,Vermelho,309,Neve,Sim
11848,Team C,Team D,Thursday,9,20,9.3,1.4,High,Vermelho,Azul,104,Neve,Nao
5670,Team D,Team D,Monday,12,14,9.5,5.1,High,Azul,Amarelo,303,Nublado,Nao
3010,Team D,Team C,Sunday,9,20,6.5,2.7,Low,Vermelho,Azul,444,Chuvoso,Sim
46971,Team C,Team C,Saturday,17,2,4.3,5,High,Branco,Vermelho,113,Neve,Nao
12496,Team C,Team D,Monday,8,20,6.8,2.5,Low,Branco,Branco,702,Nublado,Sim
-8234,Team D,Team D,Wednesday,12,18,7.8,7.1,Medium,Azul,Azul,885,Ensolarado,Nao
26015,Team A,Team B,Wednesday,7,4,5.8,3,Medium,Vermelho,Azul,609,Nublado,Sim
-5413,Team B,Team D,Monday,17,15,9.9,9.1,Low,Vermelho,Verde,395,Chuvoso,Nao
7319,Team C,Team A,Wednesday,18,3,2.1,4.4,Low,Vermelho,Azul,542,Nublado,Nao
10671,Team D,Team B,Sunday,3,18,8.7,2.7,High,Vermelho,Verde,144,Nublado,Sim
29447,Team C,Team A,Wednesday,5,6,6.1,3.3,Low,Branco,Verde,287,Chuvoso,Sim
13956,Team B,Team D,Tuesday,2,3,4.1,2.4,Low,Vermelho,Azul,439,Nublado,Nao
9526,Team C,Team A,Tuesday,17,16,2.5,3.4,High,Azul,Azul,905,Ensolarado,Nao
12974,Team B,Team D,Sunday,18,7,4.3,5.4,High,Verde,Branco,911,Ensolarado,Sim
31996,Team A,Team B,Monday,15,5,2.9,3.7,High,Branco,Amarelo,649,Chuvoso,Nao
34466,Team C,Team B,Friday,5,12,7.7,9.9,Low,Azul,Verde,994,Chuvoso,Sim
32445,Team C,Team D,Sunday,10,12,3.4,7.7,Low,Verde,Azul,279,Chuvoso,Nao
17440,Team D,Team B,Thursday,13,20,3.6,4.5,Medium,Azul,Azul,151,Ensolarado,Nao
26075,Team A,Team B,Tuesday,14,15,2.4,8.4,High,Azul,Amarelo,695,Chuvoso,Nao
36347,Team D,Team C,Sunday,13,7,8.3,4.6,High,Verde,Verde,295,Nublado,Nao
3995,Team C,Team D,Monday,15,19,1.9,5.9,Low,Branco,Vermelho,378,Nublado,Nao
45069,Team D,Team B,Saturday,3,14,6.4,6.1,High,Amarelo,Branco,606,Neve,Nao
50019,Team A,Team B,Monday,1,20,4,5.1,Low,Branco,Verde,693,Chuvoso,Nao
54373,Team A,Team A,Thursday,20,8,7.6,8.5,Low,Vermelho,Verde,473,Chuvoso,Sim
49344,Team C,Team D,Monday,17,6,3.2,4.4,High,Amarelo,Azul,57,Chuvoso,Nao
23664,Team A,Team C,Thursday,2,3,1.6,5,Medium,Vermelho,Verde,325,Neve,Nao
7540,Team C,Team D,Sunday,17,4,4.4,5.2,Low,Vermelho,Verde,88,Chuvoso,Nao
57834,Team D,Team A,Tuesday,3,19,7.8,5.6,High,Amarelo,Amarelo,740,Chuvoso,Sim
19091,Team C,Team A,Thursday,7,19,3.7,8,High,Azul,Amarelo,169,Ensolarado,Nao
7813,Team C,Team A,Wednesday,8,2,2,7.9,High,Vermelho,Verde,690,Chuvoso,Nao
14637,Team D,Team B,Friday,7,6,8.7,1.8,High,Vermelho,Amarelo,859,Chuvoso,Nao
6574,Team A,Team C,Saturday,3,16,4.1,4.4,Medium,Azul,Azul,923,Ensolarado,Nao
24525,Team A,Team A,Tuesday,19,18,4,1,Medium,Azul,Branco,786,Neve,Nao
2641,Team A,Team A,Tuesday,10,4,6.1,2.9,Low,Vermelho,Azul,576,Ensolarado,Sim
14540,Team B,Team C,Tuesday,17,9,6.2,9.9,High,Vermelho,Branco,490,Neve,Sim
54242,Team C,Team A,Friday,10,10,7.8,8.4,Low,Amarelo,Branco,917,Ensolarado,Sim
20316,Team A,Team B,Friday,4,18,5.9,5,Medium,Verde,Branco,186,Chuvoso,Sim
8472,Team B,Team A,Sunday,8,13,3.5,6.4,Medium,Amarelo,Verde,737,Chuvoso,Sim
28844,Team C,Team B,Thursday,20,12,5.4,5.1,High,Branco,Vermelho,106,Ensolarado,Sim
22739,Team D,Team D,Thursday,20,3,9.5,2.5,High,Verde,Vermelho,350,Ensolarado,Sim
-2256,Team C,Team D,Sunday,4,17,1.7,8.9,High,Vermelho,Branco,773,Neve,Nao
19830,Team C,Team D,Wednesday,13,16,1.7,2.7,High,Vermelho,Vermelho,323,Neve,Nao
1025,Team D,Team C,Thursday,2,12,1.7,7.9,High,Azul,Verde,247,Chuvoso,Sim
30607,Team B,Team B,Thursday,1,1,3.5,3,Medium,Verde,Verde,324,Nublado,Sim
35893,Team A,Team D,Sunday,11,20,3.3,4.7,Medium,Azul,Vermelho,921,Ensolarado,Sim
34729,Team A,Team C,Wednesday,4,6,7.7,3,Medium,Vermelho,Vermelho,424,Chuvoso,Nao
51075,Team A,Team C,Wednesday,4,12,3.7,9.3,Low,Verde,Branco,394,Chuvoso,Sim
-2053,Team D,Team B,Thursday,12,6,3.7,4.7,Low,Vermelho,Verde,998,Nublado,Sim
17684,Team D,Team A,Wednesday,17,7,6.6,5.4,Medium,Branco,Branco,717,Chuvoso,Sim
33511,Team A,Team D,Tuesday,9,4,8.5,6.3,Medium,Branco,Branco,669,Chuvoso,Nao
-4717,Team C,Team D,Monday,3,11,9.8,1.7,Low,Verde,Amarelo,826,Nublado,Nao
3161,Team C,Team A,Sunday,1,14,2.8,8.1,Medium,Azul,Vermelho,579,Neve,Sim
52526,Team A,Team A,Monday,6,4,1.1,1.6,High,Amarelo,Branco,349,Nublado,Nao
41168,Team A,Team A,Sunday,7,16,5.6,1.1,Medium,Vermelho,Azul,426,Chuvoso,Sim
47430,Team D,Team A,Friday,12,19,9,6.2,Low,Branco,Branco,971,Neve,Sim
49428,Team A,Team D,Friday,15,6,5,9.2,Medium,Branco,Branco,434,Ensolarado,Nao
51259,Team B,Team B,Tuesday,9,13,3.2,3.3,Low,Amarelo,Branco,805,Nublado,Nao
8683,Team C,Team C,Saturday,9,1,9.5,3,High,Amarelo,Vermelho,894,Neve,Nao
-7248,Team A,Team A,Tuesday,3,7,5,1.8,Medium,Azul,Amarelo,640,Chuvoso,Sim
6874,Team A,Team D,Wednesday,9,13,3.7,5.8,Low,Verde,Vermelho,735,Nublado,Sim
25298,Team D,Team D,Wednesday,20,16,5.7,1.7,High,Verde,Branco,356,Ensolarado,Nao
12744,Team B,Team D,Sunday,4,11,4.2,8,High,Branco,Verde,734,Chuvoso,Nao
33660,Team D,Team C,Saturday,5,13,2.8,3.7,Medium,Azul,Verde,943,Nublado,Sim
9629,Team A,Team A,Thursday,16,12,9.4,8.3,Medium,Branco,Azul,998,Neve,Sim
32072,Team C,Team A,Friday,12,6,7.7,5.7,Medium,Vermelho,Verde,172,Nublado,Nao
1547,Team B,Team A,Thursday,6,14,7,3.5,Low,Vermelho,Amarelo,997,Neve,Nao
16423,Team B,Team B,Monday,13,18,7.4,5.4,High,Vermelho,Vermelho,844,Ensolarado,Nao
3823,Team B,Team C,Monday,5,8,7.6,1.9,Low,Branco,Vermelho,378,Chuvoso,Nao
44302,Team D,Team D,Sunday,5,4,9.8,8.1,High,Verde,Branco,311,Ensolarado,Sim
12593,Team A,Team B,Wednesday,16,11,1.2,5.5,Medium,Azul,Vermelho,870,Nublado,Sim
23296,Team A,Team C,Sunday,3,15,5.4,9.5,Low,Azul,Vermelho,472,Chuvoso,Sim
14074,Team A,Team A,Friday,8,18,3.7,3.8,High,Verde,Branco,836,Ensolarado,Nao
17811,Team B,Team A,Tuesday,17,12,4,3,Medium,Verde,Verde,475,Ensolarado,Nao
6662,Team B,Team D,Friday,3,8,8.9,1.7,High,Verde,Amarelo,982,Nublado,Nao
34962,Team C,Team A,Tuesday,7,9,6.8,9,Low,Vermelho,Verde,104,Neve,Nao
47775,Team B,Team D,Thursday,3,9,2.5,3.2,High,Amarelo,Amarelo,194,Chuvoso,Nao
-8369,Team A,Team B,Tuesday,12,19,2,8.8,Medium,Vermelho,Branco,742,Chuvoso,Sim
5794,Team A,Team C,Saturday,14,13,1.9,9.3,Low,Branco,Verde,491,Ensolarado,Nao
-3299,Team B,Team C,Wednesday,7,7,6,6,Low,Azul,Vermelho,335,Chuvoso,Sim
41256,Team C,Team C,Friday,16,5,8,7.1,Medium,Verde,Amarelo,573,Nublado,Nao
24512,Team B,Team B,Tuesday,1,14,1.6,5.3,Low,Verde,Amarelo,720,Chuvoso,Sim
8480,Team B,Team C,Saturday,7,18,5.9,5.1,Low,Amarelo,Vermelho,458,Chuvoso,Sim
31023,Team D,Team D,Saturday,12,13,6.4,1.9,Low,Verde,Verde,481,Neve,Sim
45715,Team B,Team C,Thursday,7,3,1.1,9.2,Low,Verde,Vermelho,247,Nublado,Sim
37101,Team A,Team D,Sunday,16,19,1.3,1.8,Low,Verde,Verde,73,Nublado,Nao
22245,Team A,Team B,Tuesday,20,8,5.2,10,High,Vermelho,Branco,707,Neve,Sim
37668,Team A,Team B,Thursday,19,2,4.4,9.4,Medium,Amarelo,Amarelo,634,Ensolarado,Nao
44014,Team D,Team C,Tuesday,4,16,6.3,8.1,Medium,Amarelo,Branco,831,Ensolarado,Nao
61470,Team D,Team C,Monday,1,7,7.6,3.9,Low,Branco,Verde,280,Ensolarado,Nao
23082,Team B,Team B,Wednesday,19,16,1.6,7.1,High,Azul,Azul,125,Neve,Sim
20065,Team C,Team B,Saturday,1,11,7.2,6,Medium,Verde,Amarelo,902,Chuvoso,Sim
43954,Team B,Team B,Friday,13,10,8.1,9.2,Low,Azul,Verde,113,Nublado,Sim
-1253,Team D,Team B,Wednesday,13,9,7.6,8.7,Low,Vermelho,Amarelo,567,Ensolarado,Nao
26945,Team B,Team B,Friday,4,14,2.9,8,High,Branco,Verde,735,Nublado,Sim
4754,Team D,Team D,Tuesday,9,7,5,6.3,Low,Vermelho,Azul,153,Ensolarado,Sim
6746,Team A,Team B,Wednesday,12,11,2.6,5.7,High,Vermelho,Amarelo,316,Ensolarado,Sim
7767,Team A,Team D,Monday,4,19,8.8,3.5,High,Amarelo,Azul,178,Nublado,Sim
41292,Team D,Team D,Tuesday,14,15,7,2,High,Azul,Vermelho,214,Ensolarado,Sim
11425,Team B,Team A,Monday,9,3,8.3,7.2,Low,Verde,Vermelho,856,Nublado,Nao
20809,Team C,Team C,Tuesday,2,1,6.2,2.3,Low,Verde,Azul,521,Chuvoso,Sim
6053,Team A,Team C,Thursday,2,18,7.3,2.9,Low,Vermelho,Verde,120,Nublado,Nao
