Classificacao do Jogador,ID do Jogador,Idade,Gols,Assistencias,Chutes,Passes,Roubadas de Bola,Cartoes Amarelos,Cartoes Vermelhos,Minutos Jogados,Posse de Bola,Altura do Jogador (cm),Peso do Jogador (kg),Cidade Natal,Pe Dominante,Numero da Camisa
6.38,33,28,2,0,1,15,0,0,0,73,51.94044579,179,73,Braga,Direito,32
3.16,34,29,0,0,1,16,1,0,0,78,51.29581088,173,53,Coimbra,Esquerdo,94
9.61,35,34,1,2,0,20,3,0,0,114,55.92192696,157,88,Faro,Direito,68
7.4,36,21,0,3,1,19,0,0,0,100,61.94261405,175,54,Faro,Direito,54
12.69,37,28,3,1,3,19,2,0,0,101,50.29128386,181,81,Porto,Esquerdo,79
6.5,38,22,1,0,3,11,2,0,0,56,57.8818853,155,97,Faro,Direito,35
4.44,39,35,1,0,2,14,0,0,0,13,63.22615701,169,95,Faro,Direito,1
7.47,40,26,1,0,2,16,4,0,0,22,68.59289871,169,93,Porto,Direito,34
4.62,41,26,1,0,2,17,0,0,0,9,69.81742161,188,52,Porto,Esquerdo,57
4.14,42,32,1,0,0,14,0,0,0,107,55.03136725,177,73,Faro,Direito,39
6.54,43,26,0,0,4,20,3,0,0,96,64.49867055,200,62,Braga,Ambidestro,14
4.73,44,33,0,0,3,19,1,0,0,108,68.36484878,171,77,Porto,Direito,37
5.16,45,33,0,0,3,27,2,0,0,41,57.31344156,208,51,Faro,Esquerdo,74
3.25,46,26,0,0,2,20,0,0,0,73,64.2330757,159,67,Faro,Ambidestro,18
3.53,47,21,0,0,0,17,2,0,0,88,54.18559751,207,73,Porto,Esquerdo,72
7.95,48,37,1,1,3,22,1,0,0,64,61.72142923,160,67,Faro,Direito,67
3.91,49,38,0,0,1,25,1,0,0,108,56.45325309,173,58,Braga,Ambidestro,51
1.97,50,27,0,0,1,16,0,0,0,10,58.40442549,172,98,Coimbra,Direito,82
6.84,51,28,1,0,4,22,1,0,0,45,66.51039879,207,50,Lisboa,Esquerdo,85
9.55,52,24,2,1,3,25,0,0,0,94,51.9925256,170,95,Coimbra,Ambidestro,21
3.77,53,25,0,0,2,24,0,0,0,104,69.90675774,189,86,Faro,Ambidestro,31
12.23,54,20,2,2,3,21,2,0,0,70,69.30118136,157,67,Faro,Esquerdo,21
5.85,55,31,1,1,2,23,0,1,0,67,64.20545387,174,52,Porto,Ambidestro,43
6.15,56,33,1,0,3,15,1,0,0,79,54.21044893,171,52,Porto,Esquerdo,95
3.66,57,27,0,0,3,16,0,0,0,82,67.58243328,191,68,Porto,Esquerdo,14
7.53,58,35,1,0,4,20,2,0,0,52,69.7781065,171,74,Coimbra,Esquerdo,61
5.19,59,27,1,0,0,19,1,0,0,104,67.12709588,205,58,Coimbra,Direito,73
4.16,60,23,0,1,1,18,0,0,0,70,67.44873895,197,69,Coimbra,Direito,7
6.55,61,19,1,0,5,19,0,0,0,66,55.24885214,157,87,Faro,Esquerdo,71
3.35,62,27,0,0,2,31,0,0,0,19,64.31630965,183,52,Lisboa,Direito,20
2.55,63,36,0,0,1,20,0,0,0,49,64.20802207,201,65,Porto,Esquerdo,82
7.21,64,34,1,0,5,29,0,0,0,77,61.38347173,203,94,Faro,Ambidestro,24
6.93,65,32,1,0,5,19,1,0,0,12,68.18585031,161,61,Porto,Ambidestro,97
4.43,66,31,0,0,2,24,1,0,0,101,68.97157095,157,63,Porto,Ambidestro,61
4.43,67,35,0,1,1,20,0,0,0,111,50.64406079,156,77,Lisboa,Ambidestro,39
6.4,68,23,0,2,0,13,2,0,0,81,67.55760739,207,80,Braga,Direito,3
6.24,69,29,0,0,3,25,4,0,0,5,64.53640751,188,85,Porto,Ambidestro,81
3.96,70,26,0,1,2,27,0,1,0,66,56.3230578,196,69,Faro,Direito,76
3.72,71,20,0,0,3,15,1,0,0,26,54.83599992,163,62,Braga,Ambidestro,4
5.91,72,26,1,0,2,16,1,0,0,97,60.37575377,152,68,Coimbra,Ambidestro,55
4.84,73,18,1,0,0,24,1,0,0,50,52.3888889,185,75,Lisboa,Esquerdo,5
5.33,74,34,0,1,2,16,1,0,0,99,50.24626304,155,81,Porto,Ambidestro,58
3.17,75,23,0,0,1,24,0,0,0,100,64.06951655,170,51,Porto,Esquerdo,56
6.95,76,27,2,0,0,23,1,0,0,70,51.66229466,178,62,Braga,Esquerdo,31
6.07,77,33,2,1,3,26,0,0,1,26,55.58836012,180,80,Porto,Direito,23
4.32,78,24,0,0,2,20,2,0,0,36,61.93104852,170,98,Coimbra,Esquerdo,16
4.21,79,30,0,0,1,23,2,0,0,56,69.78210784,150,53,Faro,Direito,61
2.69,80,20,0,0,2,20,0,0,0,14,57.67292959,208,66,Porto,Direito,94
5.05,81,37,0,1,1,19,1,0,0,85,69.38991207,184,83,Coimbra,Ambidestro,42
4.37,82,27,0,0,3,30,1,0,0,8,60.13497217,157,84,Lisboa,Esquerdo,28
1.96,83,37,0,0,1,17,0,0,0,8,54.79381005,185,93,Lisboa,Ambidestro,61
4.74,84,35,1,0,0,19,1,0,0,65,54.80918371,184,67,Lisboa,Ambidestro,24
2.93,85,21,0,0,1,18,0,0,0,107,63.4328988,198,82,Lisboa,Esquerdo,92
3.59,86,22,0,0,2,24,1,0,0,11,59.90019446,153,76,Coimbra,Direito,85
2.65,87,30,0,0,1,30,0,0,0,2,63.47419149,202,63,Faro,Direito,4
4.6,88,28,0,0,2,12,2,0,0,115,64.46134642,185,55,Lisboa,Esquerdo,63
3.53,89,20,0,0,2,16,1,0,0,52,59.89202342,178,62,Porto,Ambidestro,3
2.76,90,25,0,0,1,22,0,0,0,76,52.87529243,167,66,Braga,Ambidestro,48
4.13,91,26,0,0,1,23,2,0,0,53,63.87013947,177,96,Braga,Direito,57
5.12,92,29,1,0,3,21,0,0,0,3,54.2153222,167,95,Porto,Ambidestro,57
4.22,93,30,0,1,2,16,0,0,0,46,53.91122249,188,67,Faro,Direito,37
5.16,94,35,0,0,4,17,1,0,0,119,61.72112094,185,62,Braga,Esquerdo,35
9.84,95,22,2,1,2,13,3,0,0,9,51.10752126,205,89,Faro,Direito,65
2.73,96,22,0,0,0,23,1,0,0,42,53.13385918,190,81,Porto,Ambidestro,69
5.82,97,34,1,1,0,19,0,0,0,99,54.91316113,165,59,Faro,Ambidestro,11
5.23,98,38,0,1,1,25,1,0,0,90,53.15304106,194,57,Porto,Ambidestro,55
4.9,99,39,1,0,2,17,0,0,0,57,57.96417043,155,61,Lisboa,Direito,5
7.19,100,23,2,0,1,16,1,0,0,69,61.02964618,207,65,Lisboa,Direito,53
4.43,101,24,0,0,2,17,2,0,0,64,64.96693806,158,90,Faro,Direito,83
3.84,102,35,0,0,1,28,1,0,0,74,61.96541876,198,55,Braga,Direito,68
2.44,103,18,0,0,0,17,0,0,0,115,63.63147302,173,67,Braga,Esquerdo,10
5.3,104,31,1,0,1,14,1,0,0,92,63.267109,151,98,Porto,Direito,61
4.07,105,31,0,1,0,21,1,0,0,31,56.45959298,180,74,Braga,Ambidestro,35
4.71,106,24,0,1,2,22,0,0,0,65,56.86158063,167,72,Faro,Esquerdo,51
6.22,107,23,2,0,3,16,0,1,0,27,69.76661651,174,65,Faro,Direito,43
4.44,108,36,0,0,2,25,2,0,0,22,61.09886627,191,59,Lisboa,Ambidestro,19
7.1,109,35,2,0,2,17,0,0,0,79,58.69503104,161,53,Braga,Direito,74
4.1,110,32,0,0,3,20,1,0,0,30,65.45993127,175,75,Coimbra,Ambidestro,13
2.56,111,33,0,0,0,24,0,0,0,91,60.12584916,167,71,Lisboa,Esquerdo,11
5.48,112,37,0,1,4,10,1,0,0,21,60.14060175,161,78,Porto,Esquerdo,50
2.06,113,24,0,0,0,16,0,0,0,70,67.24543796,174,69,Porto,Direito,17
4.17,114,33,0,0,1,18,2,0,0,96,57.08043887,203,87,Coimbra,Ambidestro,25
4.46,115,36,0,0,3,16,2,0,0,25,55.26288449,188,64,Braga,Direito,50
4.44,116,24,0,0,2,29,1,0,0,73,68.28709028,182,97,Faro,Ambidestro,13
3.3,117,30,0,0,4,19,1,1,0,8,58.43700371,177,98,Faro,Ambidestro,68
4.56,118,34,0,0,5,19,2,1,0,3,68.81959955,209,89,Coimbra,Esquerdo,71
3.11,119,37,1,0,2,17,0,2,0,80,59.39922698,205,96,Porto,Ambidestro,47
6.05,120,33,1,0,2,31,1,0,0,29,55.67745548,174,93,Braga,Ambidestro,60
3.94,121,36,0,0,1,25,3,1,0,54,63.50992578,200,50,Porto,Direito,53
3.76,122,33,0,0,3,21,0,0,0,77,56.85224646,166,58,Faro,Ambidestro,46
5.35,123,38,0,0,2,20,3,0,0,76,61.87738798,168,69,Lisboa,Ambidestro,57
2.82,124,32,0,0,1,15,1,0,0,27,64.16834821,175,58,Faro,Esquerdo,62
3.99,125,27,0,0,3,21,1,0,0,15,61.44734925,159,88,Braga,Esquerdo,25
4.67,126,35,0,0,5,17,0,0,0,84,62.06879417,160,81,Braga,Direito,17
3.67,127,33,1,0,0,23,1,1,0,17,68.24271132,156,66,Porto,Ambidestro,7
1.62,128,39,0,0,0,22,0,1,0,107,62.69275798,195,59,Porto,Direito,81
3.17,129,20,0,0,1,17,1,0,0,52,68.28088974,152,93,Lisboa,Direito,1
3.89,130,30,0,1,1,17,0,0,0,53,59.34109812,162,83,Faro,Esquerdo,28
2.3,131,37,0,0,0,19,0,0,0,100,52.11393527,155,57,Lisboa,Ambidestro,56
2.78,132,22,0,0,2,21,0,0,0,22,54.52148641,208,64,Porto,Ambidestro,24
5.89,133,20,1,0,4,16,0,0,0,53,65.16522023,199,72,Faro,Ambidestro,45
4.79,134,19,1,0,1,17,0,0,0,98,61.90154463,150,84,Lisboa,Esquerdo,5
6.48,135,35,0,2,1,23,1,0,0,69,55.89022243,204,55,Porto,Direito,89
5.98,136,20,0,1,4,16,1,0,0,53,53.82256642,179,51,Coimbra,Esquerdo,85
4.51,137,32,0,1,0,21,1,0,0,80,59.48242807,187,61,Braga,Ambidestro,4
3.63,138,39,0,0,1,20,1,0,0,93,65.65008006,150,66,Coimbra,Ambidestro,64
6.99,139,23,2,0,4,24,0,1,0,16,65.21585667,158,80,Lisboa,Direito,91
4.14,140,36,0,1,1,18,0,0,0,74,62.4844244,200,58,Coimbra,Ambidestro,4
6.31,141,19,1,1,0,16,1,0,0,96,51.15629441,178,72,Lisboa,Direito,87
8.37,142,30,1,0,4,22,3,0,0,71,57.66701741,203,52,Coimbra,Ambidestro,26
4.86,143,21,1,0,1,17,1,0,0,16,68.02606949,191,66,Braga,Direito,81
2.58,144,32,0,0,0,25,0,0,0,84,63.13309677,158,66,Coimbra,Ambidestro,26
3.51,145,37,0,0,2,11,2,0,0,3,53.2562054,156,69,Braga,Direito,13
4.38,146,27,0,1,1,19,0,0,0,91,66.84516602,188,65,Lisboa,Esquerdo,8
2.6,147,36,0,0,0,10,1,0,0,99,57.76400304,194,84,Lisboa,Ambidestro,45
3.97,148,39,0,0,2,26,1,0,0,47,58.0347745,151,50,Braga,Esquerdo,26
2.31,149,36,0,0,0,13,1,0,0,55,50.61230473,167,96,Coimbra,Ambidestro,22
4.57,150,39,0,0,3,22,2,0,0,6,51.88442748,175,79,Braga,Esquerdo,28
5.36,151,30,0,0,4,21,2,0,0,29,67.1342469,201,95,Coimbra,Esquerdo,52
2.74,152,38,0,0,1,12,2,1,0,74,62.76562919,198,72,Lisboa,Esquerdo,80
1.95,153,22,0,0,1,13,0,0,0,32,53.16964987,164,96,Braga,Esquerdo,36
3.99,154,34,0,1,2,18,0,0,0,5,54.36720818,197,84,Lisboa,Ambidestro,45
3.89,155,27,0,0,2,15,1,0,0,92,67.70326031,199,96,Lisboa,Esquerdo,28
6.98,156,21,1,1,2,25,0,0,0,65,68.60343606,162,72,Faro,Ambidestro,40
6.02,157,34,1,0,3,25,0,0,0,70,68.79044828,152,71,Coimbra,Ambidestro,21
4.26,158,35,0,0,3,17,1,0,0,66,65.77232685,209,50,Lisboa,Esquerdo,61
7.62,159,19,3,0,0,14,0,0,0,41,57.5902094,195,91,Coimbra,Esquerdo,81
5.6,160,34,0,1,4,12,0,0,0,105,62.00294388,168,74,Faro,Esquerdo,40
4.97,161,28,1,0,1,17,1,0,0,45,54.11652718,197,62,Coimbra,Esquerdo,84
3.95,162,25,0,0,2,23,1,0,0,55,64.17946813,209,78,Faro,Direito,75
5.93,163,32,1,0,2,15,2,0,0,25,56.77542986,182,61,Porto,Ambidestro,86
7.02,164,35,0,1,3,25,2,0,0,83,67.36951167,150,63,Faro,Direito,38
6.46,165,27,1,1,1,26,0,0,0,75,53.7056699,208,61,Braga,Esquerdo,43
3.27,166,26,1,0,2,26,1,0,1,87,54.13728305,205,62,Faro,Direito,7
8.55,167,36,2,1,2,27,0,0,0,9,62.51702375,190,88,Coimbra,Ambidestro,87
2.4,168,36,0,0,1,19,0,0,0,54,50.25825607,190,51,Lisboa,Ambidestro,98
4.24,169,21,1,0,0,17,1,0,0,2,67.75912895,192,65,Coimbra,Ambidestro,37
13.63,170,18,3,2,3,22,2,0,0,8,56.61062167,151,67,Porto,Direito,29
5.8,171,28,1,0,4,17,0,0,0,36,65.09689268,190,62,Porto,Direito,77
2.16,172,37,0,0,0,10,0,0,0,119,67.29246918,202,81,Faro,Direito,67
6.39,173,25,1,0,1,31,1,0,0,118,66.05724464,185,73,Faro,Esquerdo,1
5.06,174,31,1,0,3,17,0,0,0,6,66.05029455,200,54,Lisboa,Ambidestro,25
6.71,175,26,0,1,6,16,1,0,0,19,55.59401897,167,90,Faro,Ambidestro,76
4.02,176,29,0,1,0,22,1,0,0,5,67.48894818,165,53,Faro,Ambidestro,5
5.18,177,22,0,0,3,15,2,0,0,118,54.23380111,168,85,Porto,Esquerdo,21
3.07,178,33,0,0,1,16,1,0,0,63,54.03838921,204,51,Coimbra,Direito,98
5.59,179,34,1,0,2,19,2,1,0,78,59.49690767,186,63,Coimbra,Esquerdo,49
5.77,180,20,0,1,5,19,0,0,0,16,68.24705757,208,62,Faro,Ambidestro,35
6.18,181,37,1,1,0,33,1,1,0,78,67.62830546,205,72,Lisboa,Direito,75
7.98,182,25,1,1,2,23,1,0,0,113,68.61766704,186,52,Braga,Ambidestro,5
7.32,183,35,1,0,3,21,2,0,0,89,62.96537396,199,92,Coimbra,Esquerdo,83
0.76,184,30,1,0,0,9,0,0,1,84,61.43648018,155,58,Coimbra,Direito,24
5.95,185,21,1,0,1,20,2,0,0,54,60.38106584,178,84,Lisboa,Direito,44
7.97,186,35,2,0,3,18,0,0,0,107,68.27245943,168,57,Coimbra,Esquerdo,74
4.47,187,33,1,0,1,14,0,0,0,71,67.54316806,189,77,Lisboa,Esquerdo,48
5.65,188,26,1,0,1,22,1,0,0,97,53.91625334,206,98,Braga,Esquerdo,61
5.48,189,19,1,0,1,18,1,0,0,91,62.14941022,186,64,Porto,Esquerdo,42
6.07,190,31,0,1,4,13,1,0,0,86,50.64791178,206,99,Porto,Direito,37
4.52,191,23,1,0,1,18,0,0,0,53,68.06858439,180,79,Lisboa,Direito,47
3.33,192,39,0,0,3,17,0,0,0,47,59.31590774,185,55,Lisboa,Ambidestro,48
4.49,193,31,0,0,2,19,2,0,0,56,67.10428171,182,98,Faro,Direito,83
6.56,194,21,1,0,1,23,2,0,0,103,64.92175021,156,74,Faro,Direito,85
4.78,195,39,0,0,2,20,2,0,0,96,57.68663166,169,95,Braga,Esquerdo,57
4.92,196,36,1,0,2,12,1,0,0,1,61.62550102,181,53,Porto,Ambidestro,69
3.05,197,19,0,0,2,21,0,0,0,49,59.3009858,152,79,Faro,Ambidestro,80
7.04,198,18,0,1,4,14,3,0,0,25,53.00771506,183,56,Lisboa,Ambidestro,44
3.94,199,33,0,1,1,14,0,0,0,82,55.3013826,174,96,Porto,Esquerdo,1
3.05,200,29,0,0,1,19,1,0,0,42,54.77422887,193,64,Porto,Direito,17
7.04,201,25,1,0,3,22,2,0,0,45,66.89287349,176,70,Coimbra,Ambidestro,23
4.28,202,18,1,0,0,19,1,0,0,5,58.87031497,153,91,Braga,Esquerdo,83
3.67,203,23,0,0,3,15,0,0,0,107,53.27188781,204,51,Lisboa,Direito,74
2.75,204,26,1,0,1,14,0,1,0,4,51.34294318,194,61,Faro,Direito,48
3.45,205,27,1,0,1,20,0,1,0,48,55.40283359,167,67,Porto,Direito,11
5.61,206,18,0,1,3,9,1,0,0,100,62.4348991,182,88,Porto,Direito,37
3.99,207,31,0,0,3,24,0,0,0,92,52.30125071,160,74,Coimbra,Esquerdo,74
5.18,208,31,1,0,0,22,1,0,0,104,51.53323951,173,70,Braga,Direito,5
5.5,209,36,1,0,1,14,1,0,0,113,65.87962984,201,89,Coimbra,Ambidestro,17
9.71,210,39,2,1,3,20,1,0,0,60,50.68245831,165,58,Faro,Ambidestro,51
3.88,211,32,0,0,2,28,0,0,0,100,64.2086497,202,58,Lisboa,Ambidestro,23
4.92,212,28,1,0,1,19,0,0,0,115,51.47912422,180,88,Braga,Esquerdo,27
0.85,213,31,0,0,4,16,0,0,1,44,68.5637492,197,62,Porto,Esquerdo,16
3.17,214,25,0,0,1,28,0,0,0,70,69.14155481,186,85,Coimbra,Ambidestro,40
2.86,215,20,0,0,1,14,1,0,0,53,51.66545708,154,85,Porto,Ambidestro,47
5.45,216,25,0,1,2,19,1,0,0,79,63.77870272,200,54,Faro,Direito,6
6.67,217,34,1,0,4,17,1,0,0,58,63.88086564,178,91,Coimbra,Ambidestro,87
4.44,218,20,0,1,0,18,1,0,0,99,51.50986357,174,78,Braga,Ambidestro,85
3.69,219,35,0,0,2,25,0,0,0,106,55.81886886,183,76,Porto,Esquerdo,98
8.19,220,20,2,0,1,28,2,0,0,42,54.38060854,187,84,Braga,Ambidestro,54
5.32,221,20,0,1,2,27,0,0,0,103,61.64826484,178,58,Lisboa,Direito,52
4.47,222,38,1,0,1,20,0,0,0,47,57.46026779,206,69,Faro,Direito,66
3.59,223,20,0,0,2,23,1,0,0,15,61.716176,156,75,Braga,Direito,32
4.15,224,23,0,1,2,19,1,1,0,56,52.9518557,151,85,Porto,Esquerdo,30
5.89,225,23,0,0,4,24,2,0,0,71,69.884798,176,95,Porto,Ambidestro,32
7.5,226,37,0,2,3,17,2,0,0,16,61.35169853,187,71,Porto,Esquerdo,73
4.37,227,35,0,0,1,22,3,0,0,2,65.52054635,186,80,Braga,Esquerdo,14
4.37,228,39,0,1,0,27,1,0,0,24,61.9800497,203,66,Coimbra,Ambidestro,70
7.4,229,22,2,0,1,26,1,0,0,37,59.42503059,177,70,Braga,Esquerdo,66
6.59,230,21,1,0,3,17,1,0,0,113,59.72458472,167,92,Faro,Ambidestro,83
3.63,231,21,0,0,2,20,1,0,0,36,62.65378283,162,67,Porto,Esquerdo,35
4.11,232,37,0,0,3,23,0,0,0,99,63.09365792,180,72,Braga,Esquerdo,63
7.36,233,30,2,0,1,22,1,0,0,65,52.03265501,196,78,Porto,Direito,54
1.7,234,27,0,0,0,18,0,0,0,20,63.59292506,171,87,Faro,Esquerdo,8
7.41,235,18,1,1,1,21,2,0,0,45,58.38500557,202,50,Lisboa,Ambidestro,3
6.5,236,35,1,0,2,21,2,0,0,57,57.60827964,194,76,Braga,Esquerdo,84
4.89,237,23,0,1,2,21,0,0,0,97,53.05536938,184,69,Porto,Ambidestro,82
2.82,238,39,0,0,2,17,0,0,0,46,58.56479892,170,51,Coimbra,Direito,92
6.88,239,24,0,2,3,19,0,0,0,103,56.7446945,152,75,Porto,Esquerdo,92
6.46,240,26,0,1,3,22,2,0,0,36,66.0133974,157,80,Coimbra,Ambidestro,50
11.39,241,19,2,1,2,25,3,0,0,106,65.61330484,205,74,Lisboa,Esquerdo,22
5.45,242,28,0,1,4,23,0,0,0,33,52.65571692,164,57,Coimbra,Ambidestro,96
5.07,243,25,0,0,4,23,1,0,0,72,62.05256038,204,75,Coimbra,Ambidestro,75
4.45,244,39,0,0,3,18,3,1,0,46,56.20225538,172,62,Braga,Ambidestro,36
5.57,245,39,0,0,3,17,3,0,0,67,55.79072632,153,93,Faro,Ambidestro,35
6.16,246,21,1,0,1,26,2,0,0,39,63.40196207,153,77,Braga,Ambidestro,96
6.35,247,34,0,2,1,13,1,0,0,113,56.07352709,209,61,Porto,Direito,28
5.48,248,27,0,0,3,24,2,0,0,92,61.58985685,206,78,Braga,Direito,90
6.43,249,22,1,1,4,18,0,1,0,62,51.21551036,168,52,Lisboa,Esquerdo,79
5.71,250,37,0,0,5,18,1,0,0,112,67.61313776,183,52,Faro,Ambidestro,18
5.85,251,38,1,0,1,25,2,0,0,8,63.0862117,170,91,Faro,Ambidestro,69
8.64,252,32,1,1,3,28,2,0,0,18,69.31100024,189,77,Faro,Direito,43
5.27,253,22,0,0,3,20,2,0,0,85,66.59043351,201,94,Porto,Direito,34
5.09,254,30,0,1,2,23,0,0,0,112,50.98901961,196,56,Porto,Esquerdo,64
6.62,255,18,2,0,0,17,1,0,0,46,68.91182204,162,66,Faro,Direito,2
6.14,256,35,2,0,3,17,2,0,1,93,61.15162233,159,76,Coimbra,Direito,61
3.2,257,34,0,0,1,21,1,0,0,42,59.80829114,157,92,Lisboa,Esquerdo,90
4.13,258,27,0,1,5,20,2,0,1,27,50.91507913,176,50,Porto,Ambidestro,3
4.02,259,29,0,0,0,27,2,0,0,92,50.12443011,173,99,Faro,Esquerdo,55
-0.18,260,19,0,0,2,18,0,0,1,50,50.54441013,179,90,Braga,Ambidestro,64
7.95,261,21,1,1,4,21,0,0,0,102,54.82152916,200,70,Porto,Direito,76
9.92,262,23,1,2,5,19,0,0,0,101,63.3222019,158,66,Faro,Direito,96
9.09,263,20,1,0,7,25,2,0,0,38,62.13277446,203,99,Porto,Ambidestro,56
4.31,264,37,0,0,1,23,2,0,0,85,55.36708925,163,58,Coimbra,Direito,54
3.68,265,19,0,0,1,19,1,0,0,107,63.65984674,181,92,Porto,Ambidestro,16
2.45,266,37,0,0,1,13,1,0,0,10,51.51808877,173,75,Faro,Direito,77
6.12,267,27,0,0,7,25,1,0,0,0,67.06948067,184,59,Coimbra,Direito,11
9.03,268,26,1,1,3,22,2,0,0,106,65.14567687,157,59,Braga,Ambidestro,71
5.79,269,30,0,1,2,20,1,0,0,118,60.63285569,167,98,Braga,Esquerdo,42
10.83,270,19,1,2,6,21,1,0,0,47,69.12421238,179,99,Coimbra,Ambidestro,18
5.16,271,28,1,0,3,25,4,0,1,7,55.39594214,173,91,Coimbra,Direito,34
0.95,272,20,0,0,1,28,1,0,1,80,68.55169107,184,71,Porto,Ambidestro,76
7.02,273,24,0,2,4,28,0,0,0,0,62.20388763,205,73,Braga,Direito,90
7.95,274,35,1,0,4,18,3,0,0,47,55.58997202,186,59,Braga,Esquerdo,16
6.48,275,31,1,0,3,18,1,0,0,93,60.881154,199,63,Porto,Direito,85
3.24,276,25,1,0,2,22,0,2,0,53,69.38616153,182,61,Coimbra,Ambidestro,15
5.41,277,37,1,0,1,20,1,0,0,71,62.06971209,188,89,Lisboa,Direito,65
4.59,278,26,0,0,3,18,2,0,0,17,65.27590936,175,89,Lisboa,Esquerdo,50
3.07,279,31,0,0,1,13,1,0,0,84,51.52785428,195,75,Faro,Ambidestro,78
3.71,280,32,0,0,0,21,2,0,0,78,61.20918809,160,74,Porto,Esquerdo,6
6.25,281,33,1,1,3,15,0,1,0,100,66.74979884,165,90,Faro,Direito,80
3.71,282,19,0,0,1,17,2,0,0,52,52.52821088,209,86,Faro,Esquerdo,65
7.47,283,34,2,0,0,16,2,0,0,77,63.13634037,161,59,Lisboa,Esquerdo,42
6.55,284,26,1,0,2,26,2,0,0,29,60.91986509,193,96,Porto,Ambidestro,77
2.48,285,25,0,0,0,22,1,0,0,9,60.60031407,177,97,Coimbra,Ambidestro,67
2.66,286,26,0,0,0,19,1,0,0,60,51.40173298,174,50,Faro,Direito,44
2.92,287,23,0,0,2,17,0,0,0,56,60.58945396,167,74,Braga,Ambidestro,90
4.79,288,19,1,0,4,16,0,1,0,47,60.12945741,183,53,Lisboa,Ambidestro,53
6.3,289,20,2,0,1,15,1,1,0,95,55.42848981,150,65,Coimbra,Direito,48
4.86,290,38,0,1,2,17,2,1,0,68,54.56947189,203,75,Lisboa,Direito,46
5.68,291,26,1,0,1,15,3,1,0,81,65.39549531,151,66,Porto,Direito,35
5.92,292,28,0,1,4,29,0,0,0,44,60.64695421,164,59,Lisboa,Ambidestro,16
1.94,293,19,0,0,1,17,0,0,0,5,55.02967721,183,87,Coimbra,Ambidestro,38
