Risco de Lesao,ID do Jogador,Idade,Lesoes Anteriores,Intensidade do Jogo,Posicao Jogada,Minutos Jogados,Tempo de Recuperacao,Metricas Fisicas,Carga de Treinamento,Condicoes Climaticas,Tipo de Partida,Qualidade da Equipe Medica,Altura do Jogador (cm),Peso do Jogador (kg),Cidade Natal,Numero de Fans nas Redes Sociais,Numero de Anos no Clube
0.376433969,31,38,0,High,Goalkeeper,7,4,2.87920925,46.75977654,Rainy,League,7.023823731,165,61,Porto,772064,7
0.546201873,32,30,2,Low,Defender,50,1,4.039500493,52.76428854,Windy,League,3.038016342,162,98,Lisboa,275615,3
0.484454761,33,37,1,Medium,Goalkeeper,51,3,5.25407009,67.44473086,Rainy,League,5.219765551,179,77,Lisboa,864773,6
0.629617759,34,28,1,High,Defender,69,1,9.337260568,48.84913486,Snowy,Cup,5.042806166,191,82,Porto,308629,6
0.582954805,35,24,0,High,Forward,110,2,1.876445833,39.03140831,Snowy,Cup,4.914409505,202,90,Coimbra,114702,7
0.50564909,36,18,0,High,Defender,105,1,5.803013574,39.83756266,Clear,League,8.142424366,173,95,Braga,864691,8
0.654839202,37,30,3,Low,Defender,101,2,5.249160003,55.65488315,Snowy,League,2.492012298,173,63,Coimbra,297153,9
0.653032178,38,38,3,Medium,Forward,21,2,4.309444999,41.3616381,Windy,Friendly,2.799437077,188,72,Coimbra,393757,8
0.39899271,39,28,0,High,Midfielder,9,2,6.639231679,27.29789133,Clear,Cup,7.265539045,181,88,Coimbra,315680,3
0.2774791,40,20,0,Medium,Defender,41,4,4.784107036,71.27246254,Windy,League,6.414495122,163,92,Faro,912992,4
0.503182374,41,36,1,Medium,Goalkeeper,53,2,6.681549658,38.85891977,Clear,Friendly,5.793564422,175,52,Porto,502290,5
0.724172435,42,32,1,High,Forward,95,2,9.045013166,34.60608127,Clear,League,1.982551044,200,60,Braga,361730,3
0.3710169,43,18,0,Low,Goalkeeper,76,2,5.231088408,34.83168292,Rainy,Friendly,3.570933876,162,56,Coimbra,917393,9
0.452488747,44,30,1,Medium,Goalkeeper,57,4,6.169447089,36.56877112,Rainy,Friendly,4.255432994,162,57,Braga,37643,3
0.411127507,45,21,1,High,Defender,7,3,5.877666302,66.05460019,Clear,Cup,6.35965593,162,66,Coimbra,433725,2
0.592890079,46,34,0,High,Midfielder,98,4,5.246881919,44.73842452,Snowy,Friendly,2.757044343,201,71,Lisboa,233185,4
0.485536541,47,18,1,High,Defender,52,1,4.417865882,66.28313667,Windy,Friendly,8.208743838,172,54,Coimbra,6229,4
0.477217855,48,28,0,Low,Goalkeeper,103,1,3.682771586,44.8576027,Rainy,Friendly,3.941492451,205,76,Faro,987954,1
0.386540771,49,19,2,Medium,Goalkeeper,40,4,9.095327976,67.62009346,Windy,League,6.376092274,205,63,Faro,246019,1
0.34505488,50,25,0,Medium,Midfielder,90,3,1.277833036,55.83952224,Clear,Cup,8.777092782,197,72,Braga,858284,9
0.499745338,51,39,0,Medium,Forward,114,4,9.541310263,63.60937771,Snowy,Cup,4.884489414,153,92,Coimbra,478000,1
0.579836363,52,33,1,Medium,Defender,88,1,4.786295833,26.18139269,Rainy,Cup,5.567271564,173,92,Coimbra,50133,4
0.723654339,53,35,2,High,Forward,78,2,2.206799039,23.80489768,Clear,Friendly,3.870460656,194,98,Porto,513407,2
0.47192342,54,27,1,Medium,Defender,78,3,6.626539205,73.03766134,Snowy,League,5.558574369,168,82,Porto,999879,9
0.2590993,55,26,0,Low,Midfielder,2,1,4.19331194,46.44507694,Clear,League,6.643101958,163,99,Lisboa,444117,8
0.860282207,56,25,4,High,Forward,97,2,4.703822189,54.39750125,Windy,Friendly,2.293457874,161,83,Lisboa,293898,2
0.449961734,57,21,2,Low,Goalkeeper,102,1,2.991322216,56.87975038,Snowy,Cup,8.442378675,185,82,Lisboa,73766,2
0.582970622,58,37,1,High,Forward,56,3,5.787209946,54.38898036,Rainy,League,4.972094312,161,72,Porto,932897,9
0.376321539,59,36,1,Medium,Forward,13,2,5.264841161,85.90497491,Clear,League,8.661766897,191,53,Coimbra,413025,5
0.63142893,60,32,3,High,Goalkeeper,27,2,6.113290079,25.52973862,Rainy,League,6.48521137,175,98,Lisboa,69708,4
0.354114388,61,32,1,Low,Forward,79,4,4.664963325,30.40318181,Clear,Friendly,6.422302401,166,99,Coimbra,873070,5
0.368820076,62,38,0,Low,Forward,5,3,6.147398331,45.86503099,Clear,Friendly,1.619341181,206,87,Porto,216975,5
0.53295692,63,32,1,Medium,Goalkeeper,52,1,3.630055678,47.45780257,Snowy,Cup,5.214418008,184,99,Lisboa,647910,5
0.480146346,64,24,1,High,Goalkeeper,10,4,6.980985049,22.38214805,Windy,League,2.8297521,193,59,Faro,910354,7
0.286952436,65,21,0,High,Forward,5,4,1.221160658,52.78222867,Clear,Cup,7.601070328,182,55,Porto,148644,1
0.297519052,66,33,1,Low,Defender,15,4,8.196226122,34.14990344,Windy,League,5.184485598,196,60,Lisboa,335967,2
0.351906039,67,22,0,Medium,Defender,26,2,6.540707963,48.16002859,Snowy,Cup,5.637848913,170,61,Lisboa,471279,8
0.462705054,68,35,2,Medium,Forward,14,4,4.677879691,50.78508348,Snowy,Friendly,4.536544934,177,93,Coimbra,942193,6
0.748513736,69,35,3,High,Goalkeeper,19,2,6.847654085,66.51475093,Snowy,Friendly,1.742844683,187,74,Lisboa,124033,9
0.494134233,70,35,2,Low,Midfielder,42,1,4.896963407,37.88937019,Rainy,League,5.581222081,192,67,Coimbra,854408,6
0.32024973,71,24,1,Low,Defender,2,1,3.226324382,49.39203251,Snowy,Friendly,6.119151173,208,82,Coimbra,642969,1
0.728016685,72,37,2,Medium,Goalkeeper,101,2,7.08340853,47.13871261,Rainy,Cup,1.883262822,158,92,Porto,826307,8
0.646893898,73,34,0,High,Defender,108,2,6.220461654,74.30082457,Rainy,League,3.926118242,184,50,Lisboa,932936,8
0.525292576,74,33,0,High,Forward,61,3,1.264584711,37.94872094,Windy,Cup,4.595337337,169,99,Coimbra,763351,4
0.375935965,75,28,1,Low,Forward,42,3,4.231917627,64.90076001,Rainy,Cup,4.069242846,182,93,Coimbra,184339,9
0.521248256,76,23,3,Low,Midfielder,54,1,4.767067962,62.54850485,Windy,Friendly,5.402828849,192,95,Coimbra,36647,5
0.586273787,77,20,4,Low,Goalkeeper,107,4,5.091274998,34.86765642,Clear,Cup,3.436658221,185,63,Lisboa,969342,8
0.69655732,78,32,1,High,Defender,91,1,1.304804894,70.87332664,Rainy,League,4.281490047,205,97,Porto,390979,5
0.447947193,79,23,2,Medium,Goalkeeper,5,1,6.071127537,40.00920019,Snowy,Cup,6.716645352,155,61,Braga,310651,4
0.397284248,80,38,0,Medium,Defender,3,1,3.607002392,43.53953501,Rainy,Cup,6.635589247,152,76,Porto,520537,9
0.395390919,81,18,1,Low,Forward,74,1,6.591411139,46.41970388,Windy,Friendly,6.188219334,153,67,Coimbra,124809,4
0.422178048,82,38,0,Medium,Defender,85,2,4.74227937,51.2648208,Rainy,League,8.998229376,173,86,Braga,561642,1
0.46561634,83,23,1,Medium,Midfielder,96,4,4.352826378,58.74548799,Clear,League,4.767176679,161,65,Coimbra,267885,6
0.235289526,84,21,1,Low,Goalkeeper,13,2,1.734936905,51.98814642,Clear,Friendly,8.319348025,183,50,Coimbra,784191,5
0.484038464,85,38,2,Low,Forward,59,3,3.950464141,39.21356252,Snowy,League,4.711834493,173,80,Braga,403931,9
0.337537529,86,28,1,Low,Defender,0,1,6.448375128,56.06366069,Windy,Cup,5.993651844,175,63,Faro,481568,3
0.39361057,87,32,1,Low,Defender,56,2,6.401354961,52.85673193,Clear,Friendly,6.261217037,202,61,Braga,908717,5
0.552518555,88,23,1,High,Defender,53,1,6.302073874,44.73216646,Rainy,Friendly,6.395687014,163,76,Lisboa,923432,6
0.560368188,89,21,2,Medium,Goalkeeper,35,1,5.425415352,48.98364984,Windy,League,3.507170449,162,73,Lisboa,545262,9
0.449918668,90,30,1,Medium,Midfielder,37,3,5.603836556,61.5393105,Rainy,League,4.594144476,175,72,Faro,659232,6
0.503272814,91,30,0,Medium,Defender,100,2,8.526955454,36.27383628,Snowy,League,5.148189535,171,52,Lisboa,765100,2
0.438735924,92,18,1,High,Defender,23,2,7.120861269,46.28179188,Clear,Cup,7.035991586,197,86,Lisboa,188538,6
0.447196655,93,18,1,Medium,Defender,90,3,4.967935458,47.41494662,Windy,Friendly,5.69741884,190,89,Braga,511562,7
0.529299329,94,24,0,High,Goalkeeper,88,4,0.844543755,24.40575324,Rainy,Cup,3.031052864,169,66,Lisboa,881633,3
0.605229908,95,22,1,High,Goalkeeper,112,2,7.272135984,52.35798708,Clear,Cup,6.101087824,189,57,Faro,48599,9
0.43526832,96,38,0,Medium,Defender,35,2,5.958748474,31.14922306,Rainy,League,5.544836629,167,72,Faro,717524,3
0.409885381,97,26,0,High,Goalkeeper,41,2,5.859602738,31.27012775,Windy,League,8.335585453,180,85,Porto,179798,6
0.35844747,98,22,0,Medium,Defender,91,2,3.008076578,45.04281455,Windy,League,9.161304439,179,79,Braga,42384,4
0.548504262,99,28,3,Medium,Defender,77,4,2.85608406,47.85602129,Clear,League,5.801947339,150,67,Porto,605009,5
0.572486149,100,34,0,High,Goalkeeper,103,4,5.754069386,19.76709239,Clear,Cup,3.885310969,170,97,Coimbra,635993,3
0.566496232,101,38,1,Medium,Forward,25,2,7.873289235,52.6836072,Clear,Friendly,1.914242306,156,74,Porto,654536,5
0.592730378,102,34,1,Medium,Midfielder,95,1,6.539946325,40.10149997,Rainy,League,5.621925729,206,95,Lisboa,346184,2
0.533890094,103,29,1,Medium,Forward,52,1,3.193949685,54.06952152,Windy,League,4.651156085,164,59,Faro,571826,8
0.522852207,104,38,2,High,Forward,34,4,3.315971981,27.26909356,Snowy,League,7.26206379,189,67,Lisboa,995094,7
0.571465679,105,27,2,Low,Midfielder,70,1,4.421607965,58.14391125,Snowy,Cup,2.64381887,177,88,Faro,768248,6
0.494247838,106,39,1,Low,Midfielder,115,3,2.311914822,41.57871412,Clear,Cup,5.401564055,197,84,Lisboa,491617,2
0.493295823,107,36,0,Medium,Midfielder,71,3,2.034446301,81.7210169,Rainy,Friendly,3.515598515,199,72,Coimbra,974094,5
0.565254886,108,32,1,Low,Defender,99,1,3.240820569,51.95803213,Rainy,League,3.13180654,183,98,Lisboa,237172,2
0.534850957,109,27,2,Medium,Defender,43,1,6.69864893,84.79077011,Rainy,League,6.070092207,209,50,Coimbra,890074,2
0.45208846,110,37,1,Low,Forward,38,1,5.242686276,66.39855164,Snowy,Cup,5.088512169,208,54,Lisboa,679840,7
0.418541277,111,27,1,Medium,Goalkeeper,95,4,9.931749015,28.11177185,Windy,Friendly,7.339010595,176,67,Braga,747791,5
0.42675376,112,21,0,Medium,Defender,49,3,3.991049184,63.49805964,Snowy,Cup,2.335616461,175,54,Braga,35086,6
0.377058176,113,37,1,Low,Defender,30,2,6.675519707,41.57070188,Rainy,Cup,6.298230037,181,51,Porto,919457,7
0.431877287,114,28,0,High,Defender,1,3,2.393021393,51.74144846,Rainy,Friendly,4.050542118,155,69,Lisboa,398494,6
0.320439306,115,39,0,Low,Defender,21,2,5.932249564,47.67560515,Rainy,League,6.111378217,186,64,Lisboa,121197,1
0.191797822,116,18,0,Low,Midfielder,48,4,6.0782427,29.59482821,Rainy,Friendly,6.485924025,157,94,Lisboa,667039,5
0.583105604,117,24,0,High,Forward,17,1,2.88171981,48.1636447,Rainy,Friendly,0.883226435,169,78,Braga,410510,1
0.297504982,118,29,2,Low,Goalkeeper,1,2,4.934600277,52.22844058,Rainy,Friendly,8.801729159,190,50,Coimbra,701061,6
0.538333991,119,26,1,High,Goalkeeper,70,3,0.814765777,54.29468506,Windy,League,5.693947832,188,68,Faro,964481,8
0.367951281,120,29,0,Low,Forward,42,1,4.352144991,39.38044136,Clear,Friendly,5.038296762,152,86,Lisboa,210096,9
0.562395629,121,38,1,High,Defender,101,4,3.167303236,69.12946207,Rainy,League,7.215708176,166,76,Faro,463681,8
0.648208986,122,18,1,High,Defender,34,1,6.432569224,22.92329173,Rainy,Friendly,0.488863794,200,98,Porto,143952,8
0.519274135,123,19,0,Medium,Defender,52,1,4.862935302,12.67913384,Rainy,Cup,1.167104889,161,94,Braga,580526,2
0.549600073,124,35,0,High,Defender,86,3,5.85623889,58.52133984,Snowy,League,5.407017001,206,50,Lisboa,845318,1
0.575067332,125,30,0,Medium,Defender,86,1,2.750614718,60.52509107,Windy,Cup,2.787810912,197,53,Faro,933152,2
0.500839779,126,30,0,High,Goalkeeper,97,4,4.667185667,52.15850946,Windy,League,5.772948586,172,52,Porto,360623,4
0.520610686,127,37,3,Medium,Goalkeeper,7,1,3.703157728,56.40060581,Windy,League,8.637303758,208,96,Braga,366412,6
0.461985023,128,21,1,High,Defender,33,2,0.695736933,52.68541122,Snowy,League,7.191067575,202,88,Faro,473851,2
0.621331181,129,27,2,Medium,Defender,80,1,2.858938878,25.24907912,Rainy,Friendly,4.682571649,205,55,Braga,982434,4
0.462023457,130,28,1,High,Goalkeeper,65,4,3.276559028,37.15266499,Rainy,League,7.481158391,154,94,Faro,770239,5
0.288203195,131,27,0,Low,Goalkeeper,54,2,5.597864983,36.00730776,Clear,League,7.258120136,207,59,Braga,374048,4
0.541974768,132,30,1,High,Defender,31,2,7.574750999,47.9322608,Windy,Friendly,5.369669058,208,85,Coimbra,177973,6
0.473661892,133,37,0,Medium,Goalkeeper,59,4,4.568755521,35.65335449,Snowy,Cup,2.395627076,192,79,Faro,314220,9
0.423214675,134,36,1,Medium,Goalkeeper,11,4,2.186992134,45.67104491,Rainy,League,3.822392378,178,92,Faro,37734,5
0.60337031,135,39,1,High,Forward,58,2,3.783303924,53.97232628,Windy,League,6.002334895,198,61,Coimbra,189207,7
0.629030403,136,30,1,High,Goalkeeper,102,3,5.099260729,53.50271372,Clear,Cup,4.541888877,169,63,Coimbra,20169,5
0.574241191,137,37,1,Medium,Midfielder,69,1,4.840111624,63.41882803,Rainy,League,5.388350905,209,54,Lisboa,707624,1
0.472883625,138,24,1,Low,Midfielder,90,1,4.313929096,29.91426829,Windy,Cup,4.994204134,189,66,Braga,237663,7
0.35386771,139,27,0,Low,Goalkeeper,67,2,3.858533221,59.38841822,Clear,Friendly,5.324083315,152,72,Porto,835380,7
0.568792498,140,31,0,High,Forward,53,1,5.427966647,74.64218604,Snowy,Cup,4.795091054,175,70,Coimbra,525308,5
0.543821152,141,32,3,Low,Forward,106,2,5.28836765,74.68960274,Snowy,Cup,7.685630459,201,90,Porto,124552,6
0.511204468,142,23,0,High,Defender,84,2,1.736886032,58.98774035,Windy,Cup,6.164643295,173,67,Porto,100645,6
0.600544898,143,37,0,High,Forward,79,1,4.155575465,51.63018106,Windy,League,6.059848858,206,61,Braga,102112,9
0.503733717,144,31,1,High,Goalkeeper,4,3,6.457514239,39.38775945,Clear,League,4.137624964,172,69,Braga,382470,7
0.872115205,145,37,2,High,Defender,86,3,5.950497865,63.90842152,Windy,Cup,-2.800050906,180,72,Braga,890374,2
0.558115737,146,35,2,Medium,Forward,22,1,7.942965676,57.11745122,Snowy,League,5.291191932,168,63,Coimbra,211338,3
0.544220663,147,38,2,Medium,Goalkeeper,53,3,6.473878175,43.58232614,Clear,League,5.394249754,195,50,Lisboa,563640,6
0.543150579,148,37,1,High,Goalkeeper,34,1,3.893167485,65.72090644,Snowy,League,8.121458566,170,84,Coimbra,300224,5
0.348704017,149,29,0,High,Forward,18,4,5.927552084,43.21078481,Windy,League,7.227471241,172,99,Faro,383547,3
0.359790411,150,19,0,Low,Defender,74,2,6.790550905,69.91628242,Windy,Cup,4.08957463,152,91,Faro,404993,3
0.390132073,151,22,2,Medium,Midfielder,61,4,2.279140165,49.1530446,Snowy,Cup,7.978842043,152,56,Braga,23414,3
0.707339192,152,30,3,Medium,Forward,112,2,0.765157188,69.90143063,Rainy,League,4.481079423,176,65,Faro,289997,6
0.53983649,153,21,2,Medium,Midfielder,94,1,9.40324933,53.15712307,Clear,Cup,7.790675868,163,87,Braga,92348,8
0.613625298,154,38,2,Low,Goalkeeper,109,1,4.488886077,55.73492563,Rainy,Friendly,5.115194183,199,66,Faro,929976,9
0.539852912,155,18,0,High,Forward,115,1,6.171490041,80.5421515,Rainy,League,7.323335841,189,73,Faro,817676,1
0.627210406,156,37,3,High,Forward,14,4,5.207294261,41.47655263,Snowy,League,3.974845566,193,96,Coimbra,806222,4
0.203302966,157,27,0,Low,Forward,13,4,3.680936938,36.20303379,Rainy,Cup,5.547524547,188,96,Lisboa,795360,2
0.299876803,158,19,1,Low,Forward,7,1,6.045237504,54.42554521,Snowy,Friendly,6.371146661,181,81,Braga,65468,4
0.667268455,159,29,0,Medium,Defender,115,1,1.284403157,49.1029468,Snowy,Cup,0.52405593,176,53,Faro,880006,6
0.497352915,160,35,1,High,Defender,27,4,6.694329935,44.31889812,Windy,Cup,5.040916673,176,84,Faro,814756,3
0.540915177,161,28,0,Medium,Forward,114,2,3.981402007,61.43750106,Windy,Cup,4.071447632,153,72,Coimbra,957645,2
0.432427675,162,23,0,Medium,Defender,86,2,6.636853546,5.71083864,Windy,Friendly,6.011308482,153,91,Braga,923805,7
0.649857182,163,27,2,Medium,Goalkeeper,66,1,8.351658265,65.36093043,Clear,League,2.69628461,196,74,Braga,349922,8
0.605975751,164,32,2,Medium,Forward,106,3,5.832537086,48.1353068,Windy,Friendly,4.903840197,196,72,Braga,803872,1
0.445882681,165,29,1,Medium,Defender,98,4,10.04078368,64.82457354,Windy,Friendly,6.74296096,179,52,Faro,369112,4
0.586699101,166,33,1,High,Goalkeeper,32,2,2.935758381,46.35318796,Rainy,Friendly,4.119219551,184,96,Faro,610061,1
0.537522552,167,21,1,High,Defender,80,2,2.058822024,41.60681904,Rainy,Friendly,6.835551699,174,55,Braga,502475,4
0.613836357,168,28,3,Medium,Forward,99,4,6.063518436,15.69658745,Rainy,Friendly,4.406540393,170,73,Lisboa,825576,1
0.48803382,169,25,2,High,Forward,6,4,6.602825017,68.19375744,Snowy,Friendly,4.781350627,201,90,Coimbra,869544,9
0.628744314,170,32,1,High,Defender,67,2,6.814306295,77.13362626,Rainy,Cup,4.261952431,204,55,Coimbra,790491,6
0.616589378,171,34,1,High,Goalkeeper,85,4,1.964626263,69.02689034,Windy,Cup,3.360327942,164,87,Lisboa,11437,3
0.42206522,172,21,0,High,Defender,35,2,5.812609618,58.77669805,Windy,League,6.611188876,172,63,Faro,524747,7
0.34258336,173,28,1,Low,Forward,17,4,6.477468874,46.53075591,Rainy,League,2.578429808,189,99,Faro,126499,5
0.653900728,174,30,1,High,Forward,90,1,7.575447668,78.42636672,Windy,Friendly,5.622158218,208,54,Faro,319435,1
0.388501482,175,24,3,Low,Forward,17,4,5.681920895,67.25553812,Clear,League,4.662366027,183,59,Braga,530815,2
0.411023579,176,35,0,Low,Midfielder,90,3,8.758042178,59.24388949,Clear,Friendly,4.322250498,176,71,Porto,312569,7
0.650482127,177,33,1,High,Defender,105,4,6.89823457,66.50392654,Rainy,Cup,2.962327341,199,85,Braga,871976,4
0.410914748,178,36,1,Low,Goalkeeper,77,3,5.413418905,32.7056184,Rainy,Friendly,6.076712786,206,57,Faro,141967,7
0.381551676,179,30,0,Medium,Forward,22,2,3.056745742,26.28808744,Windy,League,5.588987974,209,52,Braga,767926,7
0.479690596,180,20,0,Medium,Defender,70,1,5.714924615,66.08035436,Windy,League,4.015105371,181,59,Faro,304546,6
0.684054291,181,35,0,High,Defender,115,2,7.183248053,36.54420871,Rainy,Cup,2.985804675,159,57,Faro,16009,2
0.621427574,182,28,0,Medium,Goalkeeper,106,1,4.425684425,61.53677309,Snowy,Friendly,1.703619368,176,57,Coimbra,327517,5
0.310207604,183,32,1,Low,Midfielder,25,2,1.464361645,44.82934948,Rainy,Friendly,7.872564154,169,97,Faro,252049,5
0.625503405,184,34,1,High,Forward,92,2,2.139213221,33.67837735,Clear,Cup,6.203169178,186,98,Braga,206865,7
0.398017737,185,34,1,Low,Defender,99,4,4.503306366,59.05583066,Snowy,Cup,6.138848118,167,96,Porto,503292,5
0.275936554,186,32,1,Low,Midfielder,57,4,4.767984923,52.71014115,Rainy,Friendly,8.344409115,198,72,Porto,865401,5
0.712293766,187,35,2,High,Forward,7,1,4.70506308,26.92689003,Snowy,Cup,1.594599101,193,89,Braga,656994,7
0.74407555,188,38,2,Medium,Defender,116,2,5.854318377,40.38981751,Clear,Friendly,2.274818756,164,83,Faro,111483,6
0.603625568,189,34,3,Medium,Forward,31,2,6.544594714,68.35383619,Snowy,Cup,4.708535519,203,70,Coimbra,822985,9
0.702553584,190,36,0,High,Midfielder,118,1,3.392880507,60.02269543,Windy,League,3.977298471,156,55,Porto,450638,6
0.499504089,191,24,2,Low,Goalkeeper,78,1,5.473818072,58.50370534,Rainy,Friendly,5.536047783,181,89,Coimbra,282603,3
0.54726427,192,32,1,Low,Forward,60,1,6.117076159,36.11843344,Clear,Friendly,1.594456059,194,50,Porto,46948,6
0.231299212,193,18,0,Low,Defender,51,3,1.701356435,57.33522297,Rainy,Friendly,6.441291827,157,58,Coimbra,819688,3
0.487236323,194,35,0,Low,Forward,111,2,3.063473728,44.12756266,Clear,League,3.822382873,160,81,Coimbra,288670,4
0.426356347,195,39,0,Medium,Defender,42,4,4.555159161,55.30951828,Snowy,League,3.69357784,182,86,Faro,237151,7
0.568759856,196,26,3,Medium,Forward,23,3,4.215496764,64.22868177,Snowy,League,2.871429411,181,57,Coimbra,985144,5
0.373127639,197,23,0,High,Defender,22,1,6.75358293,54.55708394,Windy,League,9.609389537,170,95,Coimbra,648609,7
0.682753176,198,18,1,High,Defender,111,2,6.95270007,47.17048464,Snowy,Friendly,2.164152878,173,71,Braga,135349,5
0.614913643,199,30,1,High,Forward,109,3,4.375420817,57.68045388,Rainy,Friendly,5.529036265,150,65,Lisboa,664238,5
0.68755032,200,28,1,High,Forward,104,2,6.930310162,47.64607819,Clear,Friendly,3.309127509,182,75,Coimbra,660699,6
0.3991529,201,28,2,Medium,Defender,15,4,6.259200901,83.67950084,Snowy,Friendly,5.975637633,199,60,Braga,295252,8
0.675761781,202,22,0,High,Goalkeeper,114,1,4.794649322,43.63784951,Rainy,League,2.392480078,170,55,Lisboa,562874,3
0.579006679,203,38,2,Medium,Forward,74,2,0.864677917,60.81316452,Snowy,League,6.592956845,185,57,Faro,371417,4
0.452747197,204,23,0,Medium,Goalkeeper,102,3,3.595898306,55.42719506,Snowy,Cup,4.711502711,173,98,Porto,59157,7
0.671980415,205,38,2,High,Forward,111,4,4.782234242,58.86139749,Windy,League,5.639189945,154,96,Faro,778230,3
0.474058111,206,22,0,High,Midfielder,91,2,7.7847484,65.72363317,Rainy,League,7.921048002,206,82,Lisboa,38171,6
0.653920315,207,36,2,High,Goalkeeper,72,4,5.255812388,38.88090447,Windy,Cup,3.754688424,167,69,Porto,608618,9
0.451149837,208,26,0,Low,Defender,82,2,2.833944376,47.85731866,Snowy,League,2.035330855,177,81,Lisboa,912050,1
0.402673227,209,19,1,Medium,Defender,4,2,8.400250936,50.56877177,Snowy,Friendly,4.0812975,159,52,Coimbra,961367,9
0.647726487,210,20,2,High,Goalkeeper,105,4,3.545147378,53.55844388,Windy,Cup,3.13364717,168,90,Braga,823496,4
0.513795921,211,33,2,Low,Goalkeeper,2,2,8.199571516,45.55635647,Windy,League,0.691722108,175,72,Coimbra,404716,6
