Gravidade dos Incidentes,Rivalidade Historica,Distancia entre Cidades dos Times,Consumo de Alcool,Presenca de Seguranca,Incidentes de Violencia Passados,Temperatura,Dia da Semana,Chuva,Sequencia de Vitorias do Time,Mistura na Zona dos Fas,Jogo Noite Adentro,Numero de Barracas de Concessao,Distancia de Viagem do Time Adversario
3.153658625,1,904,5,67,2,26,2,0,3,1,0,11,651
1.111770976,1,668,4,178,0,23,6,0,6,0,0,7,737
3.541815275,2,958,2,131,2,29,1,0,6,1,0,13,117
0.9,3,608,0,258,1,24,2,0,9,0,0,15,691
0.89990389,1,295,1,216,2,33,6,0,7,0,0,17,438
1.487590781,2,552,0,124,1,31,5,0,3,0,0,9,631
0.990139331,0,138,4,248,2,21,6,0,0,1,0,18,746
1.576027587,4,252,2,63,0,28,4,0,2,1,1,15,424
1.47231505,3,995,1,85,2,27,1,0,0,1,0,10,272
3.648541585,2,289,3,178,3,16,6,0,9,0,1,11,588
2.999923977,5,539,1,57,2,30,7,0,7,1,0,1,354
2.337548338,0,829,1,233,4,31,5,1,8,1,0,12,849
4.53580806,4,62,4,79,1,20,7,0,1,0,0,6,272
1.601274032,0,698,0,164,4,15,3,0,1,1,0,10,834
1.013752859,2,364,0,56,2,20,7,0,7,0,0,2,341
1.415576113,1,734,3,470,1,15,4,1,5,0,0,19,578
4.14636522,4,791,4,382,1,24,4,0,1,1,1,13,879
1.286798321,0,247,1,288,2,34,2,1,9,0,0,9,166
4.257934058,1,292,5,211,1,22,5,0,4,0,0,11,284
1.935795383,3,556,0,151,2,30,5,0,5,1,0,7,300
0.8,2,92,0,326,1,26,7,1,5,1,0,7,320
2.595571757,2,379,2,460,2,33,7,0,9,0,0,15,914
2.273197801,4,840,1,135,1,28,2,0,6,0,0,16,519
2.775317483,0,640,4,341,2,22,5,0,3,0,1,12,447
0.740699795,3,478,0,162,3,33,5,0,2,1,1,19,907
3.172582382,5,840,4,74,3,29,6,0,2,1,0,12,512
3.651966567,4,793,1,105,1,19,4,0,3,0,0,19,689
0.997896595,5,662,1,417,1,31,1,0,0,0,0,4,294
2.344330625,4,211,0,190,4,28,3,0,9,0,0,14,815
0.489004493,0,705,3,371,5,29,3,1,0,1,0,19,494
3.391892553,3,670,4,466,0,22,1,0,6,1,0,3,627
0.184128342,0,484,4,187,0,18,3,0,1,0,0,5,717
2.271355377,2,282,2,138,2,21,1,1,5,0,0,5,893
2.193722909,5,160,1,499,0,21,5,0,5,0,0,17,621
0.809656879,1,977,1,48,1,19,2,0,2,0,1,17,809
2.043657048,2,983,0,467,2,24,6,0,4,1,1,3,55
1.641673406,2,281,0,309,4,34,5,0,5,0,0,10,793
3.475323953,5,799,0,370,4,19,7,0,9,1,0,3,475
2.50373178,4,758,2,359,1,18,2,0,5,0,1,7,181
2.564870765,2,322,3,142,0,25,7,0,3,1,0,17,765
2.916908039,3,647,0,388,1,20,1,0,1,0,0,19,826
0.3,2,856,0,461,0,29,7,0,1,0,1,5,963
3.201875656,3,90,5,389,2,25,5,0,3,1,1,10,53
0.637111833,0,609,0,118,3,21,7,0,4,0,0,15,310
4.037428507,4,515,2,81,2,33,1,0,1,1,1,12,303
3.486612188,3,973,4,217,4,19,6,0,7,1,0,18,397
0.9,2,126,3,74,0,18,6,0,9,0,0,16,752
1.612555535,4,739,4,250,4,15,7,0,4,0,0,16,243
4.747390018,4,539,5,88,1,30,4,1,6,1,0,6,137
1.445890125,3,818,1,97,1,26,7,0,5,0,0,11,373
3.184903299,3,166,1,408,2,34,6,1,5,1,0,13,601
1.016150153,1,483,0,187,3,32,6,0,2,1,0,5,431
5.465118714,1,68,5,271,3,34,1,0,9,0,0,8,873
1.758401244,4,620,4,75,0,16,6,0,2,0,0,15,794
2.772542046,5,245,2,334,2,27,5,0,1,0,0,18,269
4.121346546,5,668,3,380,3,26,2,0,0,0,1,16,804
3.223417276,1,500,4,432,1,18,4,0,6,1,1,16,813
4.782586015,2,474,5,114,1,18,5,1,9,0,1,8,640
4.479660558,0,443,5,107,2,27,5,1,9,1,1,15,359
1.989501957,4,333,4,496,0,17,5,1,3,1,0,15,849
1.475467599,0,83,3,105,1,31,7,1,5,1,1,6,900
2.861394711,1,344,4,422,1,21,4,1,4,1,0,16,519
5.71330043,3,300,4,486,2,27,5,0,9,0,0,17,243
3.230167955,4,687,3,481,3,29,6,0,6,1,1,11,633
2.984853302,1,388,2,55,5,28,2,0,2,0,0,1,431
4.665363332,2,667,5,387,4,30,6,0,9,1,0,19,341
3.738758297,4,489,3,40,1,31,5,0,2,0,1,17,619
0.870358286,4,229,0,417,0,30,3,0,0,0,0,14,249
1.532557807,5,671,0,384,3,30,1,0,3,1,0,8,329
2.112659483,3,277,0,391,0,15,7,0,7,1,0,10,985
2.325979496,4,682,0,408,3,28,3,0,7,0,0,7,886
3.688244055,3,668,1,213,0,16,6,0,6,1,0,18,635
2.96566983,1,692,2,157,2,23,2,0,6,1,0,2,535
0.65409901,2,72,1,141,3,33,2,0,4,0,0,11,191
3.600590686,2,706,4,195,2,19,1,0,1,0,0,5,346
4.424548627,4,376,4,470,3,24,2,0,0,1,0,8,74
3.809389744,4,203,3,198,2,20,2,0,2,1,0,6,486
1.954722105,1,668,0,498,0,17,5,1,5,1,0,8,481
1.979938939,5,195,3,136,1,16,1,1,8,0,0,11,74
5.417631523,5,301,4,373,2,33,7,1,4,0,0,6,221
2.777656085,5,351,0,403,1,20,3,1,9,1,0,14,135
4.675024023,3,119,5,306,0,24,5,0,6,0,0,2,296
2.377835894,5,592,2,318,0,32,5,0,8,0,1,17,479
1.723355999,2,142,4,96,0,28,3,0,7,1,0,17,117
3.798573896,3,698,5,464,3,16,2,0,2,0,1,13,836
3.00581859,1,935,3,130,3,18,4,0,6,0,0,1,69
2.833666908,2,212,5,341,4,29,7,0,1,1,1,6,588
3.581920833,2,130,3,313,2,20,6,0,5,1,0,7,456
2.848870329,0,877,4,408,3,20,7,0,0,1,0,7,600
2.482012479,1,637,1,144,0,23,4,0,3,0,0,6,224
2.124906965,1,112,2,337,2,34,6,0,2,1,1,14,159
5.187284508,0,661,5,208,3,32,7,1,8,0,1,10,766
4.058340234,3,485,5,180,0,18,2,0,6,0,1,6,861
4.104538159,5,97,4,269,3,15,7,0,1,0,0,3,864
5.776846748,5,494,4,133,5,18,5,0,4,1,0,3,384
4.545375999,5,969,3,251,4,17,3,1,6,0,1,18,385
1.600819951,5,123,0,444,2,27,4,0,7,0,1,2,472
1.28745493,5,875,0,80,3,29,5,0,3,1,0,10,367
0.7,0,753,0,391,0,15,4,0,4,1,0,6,303
2.837581637,1,591,3,68,1,30,3,1,5,0,0,7,219
2.458137614,3,206,0,118,1,16,5,0,9,0,1,11,865
4.717658596,2,536,4,50,1,20,7,0,7,0,0,2,669
2.201590503,5,315,1,454,3,15,7,0,1,0,0,6,651
2.009407952,0,305,1,295,1,31,1,1,7,1,1,3,235
2.965721658,3,88,1,388,3,31,5,0,2,1,0,14,925
0.7,3,104,0,155,1,15,1,0,7,0,0,9,680
1.19160623,3,77,1,295,1,30,2,0,9,0,0,14,943
4.74339759,0,963,5,400,1,23,3,0,9,1,1,2,75
0.7,2,986,0,61,0,16,4,0,4,1,0,13,184
4.01503499,5,167,5,185,1,19,2,0,4,1,0,5,242
4.277631441,3,419,4,288,2,22,2,0,6,0,0,5,378
2.054132556,0,258,5,389,3,15,6,0,5,0,1,3,761
2.285472368,1,636,4,174,3,23,6,1,3,1,0,3,941
2.175048973,0,626,3,336,5,28,5,0,1,0,0,2,264
1.699375747,0,898,3,495,1,31,5,0,9,1,0,2,360
1.397205946,0,917,5,486,3,19,6,1,2,0,1,18,674
1.299482562,3,661,2,491,0,22,6,0,0,0,0,13,880
2.320854587,0,607,4,261,0,31,1,1,1,0,0,12,384
1.290552512,1,365,0,112,5,26,1,0,9,1,0,9,579
2.737017388,3,442,2,62,4,33,2,0,0,1,0,14,999
4.458135921,1,990,4,264,1,22,2,0,7,1,0,17,807
1.469930529,4,493,0,370,1,33,5,0,0,0,0,8,238
1.210258273,0,717,4,182,2,26,5,0,0,0,0,7,105
5.765781602,5,801,4,260,1,22,7,0,9,1,0,12,936
2.869594684,5,914,0,186,2,25,7,0,4,1,0,11,413
3.731387594,3,308,4,58,4,25,4,0,1,1,0,13,132
4.488636454,5,996,4,120,0,29,3,0,5,0,0,15,290
3.455388272,3,697,4,219,2,16,4,1,8,1,0,7,152
1.682541553,0,931,3,257,2,17,3,0,1,0,0,14,546
2.157396143,2,247,1,184,2,15,2,0,9,1,0,4,331
5.00553799,2,748,4,116,2,15,5,0,7,1,0,3,298
1.174986699,1,677,0,162,8,18,4,0,2,1,0,10,918
3.372154131,0,494,5,356,1,33,6,0,2,1,0,16,938
4.959470515,5,619,4,164,4,32,3,0,7,1,0,1,981
1.30145386,0,631,3,149,1,15,7,1,2,1,0,4,430
2.636315922,4,654,3,160,5,33,6,0,2,0,0,14,952
5.222564564,2,790,5,282,1,15,6,0,9,1,0,9,506
5.089095193,5,957,4,53,3,24,1,1,1,1,0,13,848
0.636147533,2,698,2,80,1,27,3,1,1,1,1,8,199
4.377064161,0,666,5,134,1,33,3,0,9,1,0,3,112
1.611398298,5,354,1,161,2,34,6,0,5,1,0,2,92
0.807524066,1,388,0,464,1,22,5,0,4,0,0,5,637
0.8,0,578,0,358,3,19,4,0,5,1,0,9,531
0.9,1,103,0,325,1,25,2,0,6,1,0,11,857
2.476274146,5,161,0,318,3,22,4,0,3,0,0,4,435
4.778697075,2,733,3,229,1,28,2,0,6,1,1,6,614
3.99715048,4,977,1,224,1,26,6,0,6,1,0,5,157
3.440484291,3,468,4,339,3,25,7,0,2,1,0,2,593
4.117153521,2,354,4,153,1,27,1,0,1,1,1,1,294
1.531345206,1,487,2,116,1,24,6,0,2,0,0,5,946
3.346312765,0,705,4,363,5,34,6,0,4,0,0,18,778
1.970017043,5,134,1,290,1,22,5,0,4,0,0,18,304
3.574490193,2,573,4,331,1,24,3,0,1,0,1,14,343
4.369639481,4,301,3,315,2,20,6,0,6,0,1,2,862
5.46262282,5,777,5,334,5,15,4,0,1,1,0,9,181
2.06806978,1,175,4,343,3,23,4,1,9,0,0,9,890
3.828535959,5,659,0,488,5,18,2,1,9,0,1,3,643
2.446941471,5,953,0,433,2,15,7,0,7,0,0,14,90
3.929015793,0,454,5,399,4,24,4,1,7,0,0,15,609
1.1,3,353,0,73,1,34,7,0,8,1,0,2,444
0,1,953,0,293,2,21,3,0,0,0,0,1,494
3.377240933,0,77,3,274,3,21,2,0,3,1,1,19,119
4.974746072,3,897,3,15,1,19,3,0,2,1,0,8,302
1.597139887,0,315,3,410,5,16,6,0,1,1,0,6,769
2.974409389,3,101,4,177,0,23,7,1,1,1,0,1,697
1.536398534,3,704,5,364,4,20,2,0,4,0,0,2,708
1.535454007,3,693,0,469,2,23,3,0,6,1,1,13,694
2.103058963,0,907,2,182,2,29,2,0,6,1,1,2,940
3.703147256,5,560,5,347,2,27,5,0,0,1,0,4,281
4.935486898,3,256,2,128,4,29,4,1,7,1,0,6,267
2.526372121,5,623,0,436,2,15,3,0,5,1,0,17,778
1.379165758,1,924,1,235,1,29,7,0,9,1,0,13,330
6.210983887,4,560,5,183,6,32,1,1,7,1,0,7,698
4.71949294,5,693,4,456,0,25,6,0,3,1,0,17,148
1.552548076,4,602,2,138,1,17,5,1,5,0,0,7,754
3.342460514,3,250,5,196,4,15,5,0,0,1,0,3,992
3.054170705,4,660,5,72,4,18,6,0,3,0,0,12,627
3.465845839,4,872,3,472,4,16,3,0,5,0,1,8,93
3.458107856,3,333,1,390,5,30,3,0,9,1,0,12,987
3.614773482,5,406,3,283,5,33,7,0,6,0,1,8,330
4.353280047,3,96,1,95,3,30,1,1,9,1,0,18,814
2.0183761,1,186,1,219,1,26,6,0,4,0,0,11,149
1.846113286,2,179,4,202,1,22,3,0,2,0,0,14,277
2.913855744,0,244,5,247,3,18,6,0,8,1,0,2,189
1.819176981,3,678,3,29,0,30,1,0,9,0,0,2,334
3.278857505,3,413,3,449,3,23,3,0,7,1,1,2,445
5.495956411,4,481,2,191,3,29,1,1,9,1,1,12,940
2.715925319,1,118,5,57,3,26,2,0,0,1,0,17,689
2.488772854,4,507,0,237,3,31,4,0,1,1,0,10,510
2.035430942,5,589,0,63,1,29,4,0,1,1,0,10,294
0.999718471,3,384,2,111,1,18,3,1,8,0,0,5,760
2.832940151,3,575,1,98,1,22,3,0,5,0,0,11,728
3.610132283,4,607,2,153,4,17,7,0,8,1,1,9,775
2.533194152,3,958,2,157,2,21,4,0,7,1,0,19,104
4.123050521,5,65,3,239,2,21,7,0,5,1,1,4,762
1.970588857,2,985,2,312,1,29,4,1,5,1,0,13,344
2.398029402,0,505,1,259,2,34,1,1,5,1,0,17,529
0.7,0,559,0,234,1,31,1,0,4,1,0,14,767
2.500026078,0,258,4,400,2,24,2,0,0,1,0,4,741
4.184097398,2,207,5,416,1,30,7,0,5,1,0,3,206
0.707305264,3,386,2,468,1,30,2,0,0,0,1,3,731
5.366461937,4,788,5,170,3,29,1,0,7,1,1,14,189
1.184716567,1,290,2,177,2,26,2,0,6,0,0,14,592
4.82485538,3,107,5,119,4,21,5,0,3,0,0,18,983
0.6,2,865,3,270,1,17,7,0,6,0,0,1,980
4.910638636,5,354,3,182,1,16,6,0,6,0,0,18,803
3.013852229,2,394,5,376,1,18,7,0,6,0,0,7,679
1.640403485,0,691,2,306,0,22,1,1,3,1,1,4,165
2.732744432,3,778,2,401,1,24,2,0,8,0,0,11,744
0.4,0,63,1,252,1,26,2,0,4,0,0,4,832
0.330109536,1,408,0,218,4,26,3,0,1,0,0,4,193
2.732595965,5,426,0,252,2,23,3,0,6,1,0,9,452
3.373175056,0,292,4,263,0,25,3,1,4,0,0,10,747
1.472974911,1,194,0,91,0,27,4,0,5,1,0,6,641
2.935232698,2,940,4,443,3,15,6,0,6,0,0,2,270
3.199882444,0,464,3,484,2,17,4,0,2,1,0,9,206
4.551942619,0,443,4,40,0,25,4,0,4,1,1,2,782
3.600932891,4,887,4,13,1,29,1,1,5,0,0,4,975
1.87329424,5,664,0,203,0,21,3,0,1,0,1,8,873
3.787118643,5,778,2,65,1,30,3,0,8,0,0,8,742
3.985174617,2,407,3,270,0,20,1,0,3,1,0,18,970
2.974550346,4,982,1,90,2,34,4,1,0,1,0,19,377
4.873550147,1,625,4,63,4,24,6,0,7,0,1,17,447
4.760322492,1,207,4,389,4,18,2,0,2,0,0,16,579
3.63094438,2,723,5,496,2,20,5,0,1,1,0,4,313
5.038995951,5,67,4,105,2,26,3,0,6,0,0,9,940
3.234018529,1,777,2,358,3,17,4,0,9,1,1,19,549
2.782359469,2,880,1,345,5,26,2,1,9,0,1,4,465
1.381086356,1,610,5,266,1,30,3,1,0,0,0,10,872
1.101425669,3,617,0,213,2,26,3,0,8,1,0,7,408
0.1,0,396,3,220,1,29,5,0,1,0,0,3,275
3.748325586,5,107,2,338,3,32,4,0,3,1,0,16,418
2.166853131,3,204,1,326,1,30,6,0,3,0,0,17,704
1.294456854,2,616,3,135,0,20,1,0,4,0,0,7,323
0.6,2,536,0,16,0,31,2,0,1,1,1,3,445
2.795944878,3,902,3,423,1,17,7,0,5,0,1,4,63
5.121277456,0,580,5,134,3,32,7,0,3,1,0,4,363
2.473685398,0,536,4,280,1,25,2,0,6,1,0,16,152
5.244591761,4,200,4,117,0,31,4,0,4,0,1,5,132
0.5,1,408,2,269,3,20,2,0,5,0,0,15,452
4.960152033,4,417,3,328,2,32,7,0,9,1,0,16,87
1.572801182,0,669,4,79,1,19,7,0,5,1,0,6,625
2.927107302,3,96,2,47,3,30,1,1,6,0,0,17,608
0.904658628,1,256,2,184,0,34,7,0,4,1,0,7,117
3.652412547,3,924,5,197,2,24,7,0,3,0,0,4,973
2.896446121,4,499,2,236,0,30,2,0,9,1,0,14,523
0.8,2,532,0,267,1,17,4,0,8,0,0,10,710
4.233754072,3,996,4,206,4,24,1,0,5,1,0,17,341
4.329044195,4,901,4,17,2,32,5,0,6,0,0,15,769
1.468157617,4,973,1,60,0,30,6,0,7,1,0,18,307
0.823156856,4,689,0,382,4,31,4,0,0,0,1,15,578
4.656529309,2,746,4,231,1,31,6,0,2,1,1,18,972
4.25736203,2,619,5,377,3,24,5,0,7,1,0,13,932
3.542817451,2,192,4,28,1,19,2,1,7,0,0,4,475
1.687702663,1,449,1,359,6,18,6,0,9,0,0,13,568
3.369880352,2,146,3,256,2,29,1,0,7,1,0,6,514
2.589299639,2,96,3,40,3,30,6,0,2,1,0,4,626
2.181799144,2,240,0,89,1,32,2,1,6,1,0,8,920
2.343270896,3,189,2,367,1,33,4,0,9,0,1,13,605
2.214085546,2,664,1,31,2,24,5,1,5,1,1,5,707
4.14085197,1,280,1,298,1,25,5,0,9,1,1,16,720
4.161961616,4,988,4,251,1,23,2,0,5,0,0,7,256
3.773296622,3,389,5,223,1,19,4,1,3,1,0,19,177
3.924417372,0,974,4,209,6,20,7,0,9,0,0,14,532
4.593365429,2,540,5,174,2,17,7,0,1,0,0,2,128
1.050675495,4,98,1,149,1,27,2,0,1,1,0,8,359
2.802280081,4,948,2,379,2,20,6,0,6,0,0,11,731
2.157563827,3,673,3,462,0,25,3,0,2,0,0,13,252
1.435363117,0,502,0,329,2,30,4,0,9,1,0,3,258
3.925702223,5,365,5,418,2,25,4,0,2,1,0,14,883
2.0115793,1,371,3,447,1,24,1,0,5,0,1,7,908
0.3,5,136,0,294,1,30,3,0,3,0,0,11,187
3.872828026,4,943,2,22,3,28,7,0,2,1,0,5,697
2.03750517,5,523,1,35,1,30,5,1,5,0,1,9,888
4.952994241,4,331,2,31,3,31,2,1,0,1,0,5,54
4.262122979,5,888,5,358,3,22,5,0,0,0,0,12,506
1.78802663,4,813,1,85,1,18,4,0,7,1,0,7,59
2.921831576,4,123,4,375,3,31,6,0,7,1,0,5,651
1.721468307,3,502,0,101,2,24,2,0,8,0,0,18,330
3.209793689,0,96,4,338,3,16,7,1,2,1,0,9,697
2.672148085,4,637,1,384,0,26,5,0,4,1,1,7,800
0.5,1,145,0,275,2,33,2,0,5,0,0,3,104
4.572044139,1,987,0,57,3,33,5,0,2,1,0,8,975
5.197367939,2,80,4,179,4,22,2,0,7,1,0,9,680
2.92524342,4,583,0,355,1,20,5,0,2,1,0,19,740
2.992776254,4,66,1,254,1,33,5,1,8,0,1,9,170
3.352433882,4,261,5,237,1,32,2,0,4,1,0,1,79
6.03834654,5,709,5,196,6,28,1,1,9,0,0,13,59
2.104072963,4,284,1,446,2,17,2,0,6,0,0,10,414
5.012449941,4,441,4,177,3,32,6,0,6,0,0,11,675
1.298829148,1,403,2,212,1,33,5,0,4,0,0,5,605
1,0,354,1,455,0,29,3,0,7,1,0,16,188
0.903273997,0,648,5,15,1,30,4,0,0,0,0,4,607
2.556173271,2,599,1,141,3,31,1,0,5,1,0,1,94
0.5,1,614,0,254,1,17,6,1,2,1,0,17,554
1.938641606,4,589,0,100,2,32,2,0,1,1,1,12,344
1.099816038,0,638,1,320,4,27,4,0,1,1,0,7,228
2.396635763,3,974,4,135,2,26,6,0,3,1,0,12,499
1.887080562,3,558,2,481,1,33,1,1,8,0,0,6,752
1.015819785,3,761,0,462,5,16,3,0,0,0,1,5,712
4.476749344,4,444,5,251,1,15,7,0,2,1,0,7,566
0.339105967,4,480,0,258,1,24,4,1,0,0,0,14,937
4.795786999,2,734,5,396,5,32,6,0,0,1,1,6,721
3.716275214,2,835,2,16,1,26,2,0,9,1,1,3,433
0.902388672,2,611,0,97,0,27,3,0,6,1,0,11,480
3.937626684,5,906,4,95,0,18,2,0,7,0,0,18,226
4.418229652,3,226,5,405,0,15,6,0,9,1,0,10,783
0.737676158,4,455,0,364,1,18,4,0,2,0,0,17,139
1.521817987,3,350,0,154,2,34,2,0,0,0,0,9,314
2.234833794,2,494,1,460,2,32,6,1,0,1,0,9,104
4.847666726,4,788,4,340,1,31,3,0,6,0,0,18,445
4.654799829,1,176,4,207,1,34,7,0,8,1,1,12,941
0.877953879,0,398,1,372,1,28,3,0,4,0,0,7,880
2.394779231,0,70,5,173,1,16,4,0,0,1,1,16,696
3.80068286,2,760,3,154,1,28,4,0,1,1,0,11,78
1.986744124,3,750,2,351,1,24,5,1,3,0,0,11,732
4.154949563,1,893,4,10,1,34,3,0,8,1,1,2,953
0.915805842,4,469,3,129,1,17,6,0,6,1,0,10,629
5.984125154,3,201,5,76,1,29,5,0,2,1,1,12,392
4.06007564,2,209,2,473,1,21,2,0,8,1,0,18,753
2.38469961,3,908,4,364,3,29,4,0,2,0,1,3,292
0.783926197,2,529,0,471,2,33,6,0,1,1,1,15,78
4.31025103,5,492,4,58,1,26,1,0,9,1,0,7,737
1,0,145,2,316,1,18,6,1,5,1,1,8,216
1.235026036,0,401,3,336,1,15,2,0,7,0,0,7,994
3.698817179,3,124,0,483,2,19,5,0,7,0,0,3,445
2.569954486,1,927,2,385,1,23,3,0,8,1,0,8,125
5.643177115,4,643,5,436,3,22,4,0,4,0,0,14,259
2.283845564,2,689,2,377,3,28,4,0,5,0,0,1,774
1.953880898,4,408,4,296,3,28,6,0,4,0,1,6,260
2.798546312,0,182,5,33,1,18,7,0,1,1,0,9,629
1.799598308,1,449,1,220,3,21,2,0,7,0,0,12,488
1.006079186,1,188,1,302,0,16,6,1,9,0,0,7,995
1.1,4,295,0,458,0,25,2,0,8,1,0,14,811
2.582814335,0,340,2,482,1,21,4,0,7,1,0,2,453
2.364121771,4,161,3,72,0,34,5,1,7,0,0,1,385
1.713195242,3,764,0,65,2,31,3,1,9,0,0,14,419
4.485237016,1,219,5,467,2,29,4,0,5,1,1,19,567
0.945508244,1,648,0,27,4,18,4,0,8,0,0,8,135
3.328797442,3,680,4,371,2,16,2,1,1,1,0,13,868
3.831004633,0,659,5,458,4,23,3,0,6,0,0,13,810
4.577699595,1,289,3,422,2,26,4,0,5,1,0,18,905
3.31740332,5,386,2,86,3,33,2,0,3,0,1,18,920
6.105033352,5,187,5,269,2,33,1,1,9,1,0,5,982
3.284154798,5,643,2,130,2,17,7,0,9,0,0,5,977
3.365847772,2,285,2,405,1,34,4,1,2,0,1,7,914
0.6,2,697,0,193,2,19,1,0,6,0,0,13,760
1.40199656,0,843,4,57,1,23,3,1,5,0,1,13,493
1.77572493,3,52,0,156,2,33,3,0,5,0,0,19,602
1.752084545,4,620,1,291,3,23,4,1,0,1,0,14,654
2.174558609,0,165,1,373,3,32,7,1,8,0,0,4,975
4.387470997,4,521,2,303,4,30,6,1,6,1,0,15,68
1.089853685,0,180,4,89,2,16,5,0,4,0,1,19,126
4.311693009,2,983,5,245,1,26,2,1,0,0,1,1,291
3.965188054,5,947,2,418,1,32,2,0,9,1,1,5,71
5.360657397,3,532,5,449,2,25,5,0,1,0,0,14,536
1.333726146,2,450,2,467,3,17,7,1,1,0,0,18,621
2.61047004,3,250,0,238,3,34,1,0,4,0,1,5,974
3.414294926,4,341,2,293,2,17,6,0,5,0,0,15,91
3.815923635,0,391,2,70,3,29,6,0,8,0,0,7,743
1,1,659,4,229,1,26,3,0,7,1,0,12,611
1.968733806,1,265,4,354,5,15,4,0,6,0,0,3,579
5.945313433,3,685,5,98,2,25,2,0,9,1,0,19,57
5.685860959,5,634,4,444,3,16,2,0,6,0,0,14,174
3.890582474,5,415,2,405,4,28,4,1,3,0,0,11,824
1.871133106,3,939,4,273,1,15,4,1,1,0,1,18,490
2.051537074,2,691,4,237,0,32,2,0,0,0,0,10,598
4.143686407,1,518,3,387,5,32,2,0,7,0,0,14,467
2.401488721,2,467,3,112,2,29,2,0,3,0,0,7,410
2.712076029,4,76,1,451,2,18,4,0,9,1,0,5,661
2.427930246,1,726,0,97,1,16,6,0,1,1,1,7,251
2.654565813,4,504,0,32,1,29,1,0,5,0,1,2,345
3.090014031,0,967,4,302,3,27,2,0,2,1,1,12,84
1.508333005,2,629,1,276,1,24,7,0,1,0,0,13,182
2.694819822,3,63,1,26,0,29,7,0,6,0,0,11,395
3.028717962,1,147,5,485,0,20,1,1,3,1,1,6,376
3.713416079,2,328,3,449,3,24,2,0,4,1,1,15,184
0.787212335,3,989,1,446,1,17,4,0,5,0,0,2,189
2.489583686,0,539,2,460,1,27,5,0,6,1,0,3,408
3.29915584,1,932,5,395,2,32,1,0,6,1,0,13,926
2.793944117,4,808,4,294,2,20,7,0,3,0,0,11,171
3.374961741,0,673,2,322,4,28,7,0,7,0,0,12,217
2.680347043,5,256,0,171,2,32,5,0,3,1,0,11,112
3.960321356,3,913,3,87,3,25,2,1,3,1,1,2,925
2.82162957,1,895,2,131,1,34,7,0,7,1,0,3,266
1.646507952,1,282,4,490,2,29,2,0,8,0,1,16,859
2.8220974,0,622,2,121,2,27,6,0,5,1,0,14,800
1.711764283,1,646,2,248,2,30,4,0,1,1,0,17,411
4.252778021,3,744,1,219,3,26,5,0,9,0,0,10,993
5.024895995,0,288,3,358,2,15,5,0,7,1,0,16,695
3.026542997,4,299,0,11,3,28,2,1,9,0,0,3,953
3.256892105,0,632,4,389,2,17,7,0,8,0,0,18,954
3.777204167,0,789,5,212,0,24,3,0,8,1,1,5,306
2.771415558,4,646,5,296,1,24,7,0,7,1,0,9,105
2.763220327,5,355,4,126,4,15,7,0,1,0,0,8,344
0.9,3,957,0,378,1,32,6,1,4,1,1,2,506
5.185520109,5,512,4,470,7,31,7,0,1,0,0,14,978
4.114127065,5,832,1,309,3,33,3,1,0,1,0,4,303
4.99754987,5,962,5,392,2,15,5,0,3,0,1,8,520
